iter	MAE	RMSE
0	0.6865618655	0.8444910297
5	0.6858206951	0.8438291175
10	0.6848220161	0.8429575926
15	0.684069072	0.8422427353
20	0.6827570819	0.8411539524
25	0.6816004391	0.8402184958
30	0.6809822384	0.8396495255
35	0.6801093089	0.8389215673
40	0.6789810375	0.8380378168
45	0.6777966775	0.8370736779
50	0.6764856276	0.8360691643
55	0.6754348663	0.835281706
60	0.6741408637	0.834283316
65	0.6732624971	0.833587699
70	0.6721179142	0.8327226381
75	0.6712275695	0.8320352974
80	0.6703161302	0.831361993
85	0.6693854361	0.8306872571
90	0.6683938294	0.8299841441
95	0.6677130401	0.8294571944
100	0.666341323	0.828522199
105	0.6648942624	0.8275393664
110	0.6638261676	0.8268100414
115	0.6627897964	0.826111274
120	0.6618554638	0.8254847673
125	0.6610105787	0.824899861
130	0.6601363819	0.8243166723
135	0.6594964735	0.8238692905
140	0.658484876	0.8231983205
145	0.6580404191	0.8229020143
150	0.6572555879	0.8223920015
155	0.6563737055	0.8218225534
160	0.6556428371	0.8213740122
165	0.6544894648	0.8206420225
170	0.6534387444	0.8200019147
175	0.6523148063	0.8193255323
180	0.6513430678	0.8187359014
185	0.6503773387	0.8181506424
190	0.6494739121	0.8175942658
195	0.6485801743	0.817052696
200	0.6478513908	0.816632823
205	0.6471451736	0.8162121581
210	0.6466248417	0.8158956528
215	0.6456655309	0.8153576678
220	0.644738189	0.8148300893
225	0.6439817292	0.8143708446
230	0.6432736314	0.8139691257
235	0.6422666127	0.8134280823
240	0.6413664157	0.8129423742
245	0.6409281726	0.8126800823
250	0.640285566	0.8123292132
255	0.6395933301	0.8119308394
260	0.6388631158	0.8115269051
265	0.638006089	0.811048703
270	0.6373856398	0.810723904
275	0.6368692734	0.8104212965
280	0.6364072786	0.8101801132
285	0.635616765	0.8097687426
290	0.634936548	0.8093842866
295	0.6343207592	0.8090411846
300	0.633882598	0.8087746958
305	0.6333503698	0.8084127764
310	0.632665615	0.8080292435
315	0.6321660506	0.8077106958
320	0.6315731143	0.8073744524
325	0.6309551998	0.8070613195
330	0.6304266917	0.8067529044
335	0.6298170352	0.8063991521
340	0.6293036531	0.8061012351
345	0.6287389654	0.8058207361
350	0.6283649054	0.8055897964
355	0.6278517277	0.8052920115
360	0.6274461484	0.8050418775
365	0.6272073223	0.8048658765
370	0.6269686189	0.8047200135
375	0.6265729328	0.8044949828
380	0.6261688662	0.8042286142
