iter	Passed	Remaining
0	48	97498
1	94	94666
2	138	92484
3	187	93788
4	224	89594
5	264	87754
6	297	84730
7	334	83252
8	372	82315
9	412	82072
10	443	80216
11	471	78085
12	499	76292
13	526	74733
14	551	72928
15	576	71533
16	605	70644
17	632	69618
18	660	68828
19	686	68003
20	717	67616
21	743	66805
22	773	66525
23	796	65596
24	823	65027
25	850	64603
26	874	63923
27	905	63786
28	937	63746
29	962	63190
30	987	62705
31	1011	62224
32	1038	61887
33	1067	61704
34	1097	61642
35	1127	61508
36	1152	61120
37	1180	60931
38	1209	60834
39	1236	60575
40	1267	60553
41	1291	60220
42	1315	59885
43	1345	59812
44	1385	60186
45	1433	60887
46	1459	60636
47	1486	60459
48	1516	60380
49	1544	60226
50	1577	60276
51	1604	60109
52	1630	59903
53	1659	59815
54	1685	59606
55	1719	59691
56	1744	59463
57	1769	59245
58	1796	59103
59	1822	58928
60	1849	58800
61	1877	58694
62	1905	58577
63	1929	58363
64	1957	58262
65	1983	58132
66	2015	58144
67	2045	58112
68	2072	58005
69	2098	57860
70	2123	57704
71	2148	57527
72	2172	57338
73	2199	57253
74	2227	57166
75	2251	56994
76	2278	56896
77	2304	56788
78	2329	56636
79	2358	56613
80	2396	56781
81	2451	57341
82	2478	57246
83	2504	57115
84	2530	57019
85	2556	56900
86	2582	56780
87	2608	56683
88	2634	56565
89	2660	56453
90	2690	56435
91	2718	56370
92	2747	56345
93	2772	56226
94	2800	56159
95	2828	56091
96	2863	56180
97	2894	56173
98	2924	56162
99	2954	56141
100	2983	56088
101	3008	55981
102	3035	55913
103	3062	55829
104	3089	55756
105	3118	55719
106	3145	55653
107	3174	55610
108	3200	55525
109	3228	55479
110	3255	55405
111	3279	55274
112	3305	55202
113	3332	55127
114	3372	55273
115	3398	55188
116	3441	55390
117	3467	55296
118	3491	55183
119	3517	55107
120	3545	55052
121	3572	54993
122	3602	54970
123	3630	54931
124	3663	54956
125	3695	54960
126	3722	54903
127	3748	54828
128	3778	54796
129	3802	54695
130	3827	54613
131	3858	54602
132	3887	54567
133	3913	54493
134	3937	54398
135	3966	54368
136	3992	54297
137	4016	54198
138	4042	54126
139	4071	54092
140	4099	54044
141	4123	53960
142	4148	53867
143	4173	53788
144	4198	53712
145	4223	53637
146	4248	53556
147	4284	53615
148	4390	54538
149	4499	55497
150	4534	55521
151	4567	55525
152	4635	55957
153	4689	56207
154	4725	56247
155	4858	57427
156	4985	58520
157	5081	59236
158	5151	59644
159	5256	60453
160	5413	61838
161	5550	62971
162	5693	64165
163	5776	64669
164	5862	65196
165	5935	65580
166	6017	66051
167	6139	66946
168	6258	67808
169	6376	68644
170	6522	69768
171	6646	70634
172	6696	70723
173	6744	70776
174	6790	70819
175	6903	71549
176	7047	72584
177	7188	73581
178	7303	74300
179	7392	74749
