TRAVEL_ID,VISIT_AREA_NM,GUNGU,ROAD_NM_ADDR,LOTNO_ADDR,LONGITUDE,LATITUDE,VISIT_AREA_TYPE_CD,VISIT_CHC_REASON_CD,REVISIT_YN,REVISIT_INTENTION,RCMDTN_INTENTION,GENDER,AGE_GRP,TRAVEL_STYL_1,TRAVEL_STYL_2,TRAVEL_STYL_3,TRAVEL_STYL_4,TRAVEL_STYL_5,TRAVEL_STYL_6,TRAVEL_STATUS_ACCOMPANY,DGSTFN
0,더현대서울,영등포구,서울 영등포구 여의대로 108,서울 영등포구 여의도동 22,126.928446,37.525872,쇼핑,지명도/명소/핫플레이스,N,5.0,5.0,여,30~40,2,2,2,2,3,3,가족,5.0
1,청계천,종로구,,서울 종로구 서린동 148,126.978647,37.569147,자연,지명도/명소/핫플레이스,N,4.0,4.0,남,10~20,3,1,2,3,1,1,연인,4.0
2,숙이네닭발,용산구,서울 용산구 우사단로10길 47,서울 용산구 한남동 732-148,126.998172,37.532902,음식점/카페,지명도/명소/핫플레이스,N,5.0,5.0,남,10~20,3,1,1,3,3,1,혼자,5.0
3,더현대서울,영등포구,서울 영등포구 여의대로 108,서울 영등포구 여의도동 22,126.928446,37.525872,문화시설,기타,N,5.0,5.0,여,30~40,2,1,1,1,3,3,연인,5.0
4,경복궁,종로구,서울 종로구 사직로 161,서울 종로구 세종로 1-91,126.976897,37.577609,역사/유적지,지명도/명소/핫플레이스,Y,3.0,3.0,여,30~40,1,1,1,1,1,3,혼자,3.0
5,도새기식당,은평구,서울 은평구 갈현로 254-1,서울 은평구 갈현동 451-7,126.915953,37.619585,음식점/카페,지명도/명소/핫플레이스,N,5.0,5.0,여,10~20,1,3,2,3,3,3,혼자,5.0
6,아모레퍼시픽미술관,용산구,서울 용산구 한강대로 100,서울 용산구 한강로2가 424,126.968458,37.529124,문화시설,지명도/명소/핫플레이스,N,3.0,4.0,여,30~40,1,1,1,1,3,3,친구,4.0
7,세운전자상가,종로구,서울 종로구 청계천로 159,서울 종로구 장사동 116-4,126.995237,37.569138,역사/유적지,과거 경험이 좋아서,N,2.0,3.0,여,30~40,3,2,1,2,3,1,가족,4.0
8,서울숲,성동구,,서울 성동구 성수동1가 678-1,127.037618,37.544322,자연,과거 경험이 좋아서,Y,5.0,5.0,여,30~40,1,3,2,1,3,3,연인,5.0
9,탬버린즈 플래그십 스토어,강남구,서울 강남구 압구정로10길 44,서울 강남구 신사동 520-9,127.022013,37.520657,쇼핑,지명도/명소/핫플레이스,N,5.0,5.0,여,10~20,1,1,3,2,1,1,혼자,5.0
10,다비치안경 명동점,중구,서울 중구 소공로 62,서울 중구 충무로1가 25-15,126.98219,37.560848,쇼핑,과거 경험이 좋아서,N,1.0,3.0,여,10~20,3,1,3,3,3,3,연인,3.0
11,난지한강공원,마포구,서울특별시 마포구 한강난지로 162,서울 마포구 상암동 495-72,126.875608,37.56704,자연,과거 경험이 좋아서,Y,5.0,5.0,남,50대 이상,1,1,1,1,3,3,혼자,5.0
12,두타.밀리오레,중구,,서울특별시 중구 을지로6가,127.008478,37.568063,쇼핑,지명도/명소/핫플레이스,Y,5.0,5.0,남,50대 이상,2,1,1,2,1,2,가족,5.0
13,몰또 이탈리안 에스프레소바 앤 테라스,중구,서울 중구 명동길 73,서울 중구 명동1가 1-3,126.98618,37.564239,음식점/카페,지인 추천이 있어서,N,4.0,4.0,여,30~40,3,3,2,1,3,1,혼자,3.0
14,카페노티드 청담,강남구,서울 강남구 도산대로53길 15,서울 강남구 신사동 654-9,127.038237,37.524185,음식점/카페,지명도/명소/핫플레이스,Y,5.0,5.0,여,30~40,2,2,2,3,3,3,혼자,4.0
15,벨라쿠키 연남,마포구,서울 마포구 동교로 248,서울 마포구 연남동 228-57,126.924523,37.561933,쇼핑,지인 추천이 있어서,N,4.0,4.0,여,10~20,3,1,3,2,1,1,혼자,4.0
16,남산공원,중구,서울 중구 남산공원길 125-54,서울 중구 예장동 산 5-6,126.989317,37.552498,자연,지명도/명소/핫플레이스,N,3.0,4.0,남,10~20,3,1,2,2,1,3,연인,4.0
17,봄날아트홀,종로구,서울 종로구 동숭길 39,서울 종로구 동숭동 1-153,127.004248,37.579997,문화시설,지명도/명소/핫플레이스,N,4.0,4.0,여,10~20,1,1,1,3,3,3,친구,4.0
18,회뜨는총각,마포구,서울 마포구 동교로 260,서울 마포구 연남동 228-26,126.925153,37.562876,음식점/카페,가성비가 좋아서,N,3.0,3.0,여,50대 이상,1,1,2,2,1,1,가족,3.0
19,우마이도 건대점,광진구,서울 광진구 능동로 135-2,서울 광진구 화양동 3-29,127.07169,37.543041,음식점/카페,과거 경험이 좋아서,Y,5.0,5.0,여,30~40,1,1,1,2,3,1,연인,5.0
20,여의도한강공원,영등포구,,서울 영등포구 여의도동 85,126.935129,37.526389,자연,지명도/명소/핫플레이스,N,3.0,4.0,여,30~40,2,2,1,2,3,2,연인,4.0
21,별마당도서관,강남구,서울 강남구 영동대로 511,서울 강남구 삼성동 159-9,127.060172,37.510066,쇼핑,지인 추천이 있어서,N,4.0,4.0,여,50대 이상,1,1,1,1,3,3,혼자,4.0
22,성수족발,성동구,서울 성동구 아차산로7길 7,서울 성동구 성수동2가 289-273,127.054316,37.546028,음식점/카페,기타,Y,5.0,5.0,여,10~20,1,1,1,1,2,3,연인,5.0
23,경의선책거리,마포구,서울 마포구 와우산로35길 50-4,서울 마포구 동교동 190-1,126.929529,37.556154,쇼핑,과거 경험이 좋아서,N,4.0,4.0,남,10~20,3,1,1,1,3,3,혼자,4.0
24,롯데월드아쿠아리움,송파구,서울 송파구 올림픽로 300,서울 송파구 신천동 29,127.104093,37.513663,테마시설,지명도/명소/핫플레이스,N,5.0,5.0,여,10~20,2,1,1,1,1,3,연인,5.0
25,망원한강공원,마포구,서울 마포구 마포나루길 467,서울 마포구 망원동 205-4,126.900028,37.551725,자연,지인 추천이 있어서,N,4.0,4.0,여,10~20,2,1,1,2,1,3,연인,4.0
26,서울특별시청,중구,서울 중구 세종대로 110,서울 중구 태평로1가 31,126.978652,37.566824,자연,과거 경험이 좋아서,N,5.0,5.0,여,10~20,2,1,3,3,3,3,혼자,1.0
27,랜디스도넛 안국점,종로구,서울 종로구 북촌로 3,서울 종로구 재동 107-1,126.985759,37.577178,음식점/카페,지명도/명소/핫플레이스,Y,4.0,3.0,여,30~40,3,1,3,1,3,3,연인,3.0
28,멜로워 성수플래그쉽,성동구,서울 성동구 성수이로7길 39,서울 성동구 성수동2가 333-94,127.053228,37.542514,음식점/카페,지명도/명소/핫플레이스,N,3.0,3.0,여,10~20,1,1,3,3,3,1,혼자,4.0
29,탄탄면공방 파르나스몰점,강남구,서울 강남구 테헤란로 521,서울 강남구 삼성동 159-8,127.060804,37.509192,음식점/카페,지명도/명소/핫플레이스,N,4.0,4.0,여,10~20,3,1,1,3,1,3,혼자,4.0
30,정돈,종로구,서울 종로구 대학로9길 12,서울 종로구 명륜4가 107,127.001095,37.581789,음식점/카페,지명도/명소/핫플레이스,N,5.0,5.0,남,30~40,1,1,1,2,3,3,혼자,5.0
31,소바의온도,종로구,서울 종로구 대학로12길 43,서울 종로구 동숭동 1-85,127.004008,37.582184,음식점/카페,과거 경험이 좋아서,N,3.0,3.0,남,10~20,2,1,3,2,1,2,혼자,4.0
32,여의도한강공원,영등포구,,서울 영등포구 여의도동 85,126.935129,37.526389,자연,과거 경험이 좋아서,Y,4.0,4.0,남,30~40,1,1,1,1,2,2,연인,5.0
33,동대문 문구완구시장,종로구,서울 종로구 종로52길 36,서울 종로구 창신동 390-29,127.014448,37.571231,쇼핑,지명도/명소/핫플레이스,N,3.0,3.0,남,30~40,1,1,3,3,3,3,가족,3.0
34,전쟁기념관,용산구,서울 용산구 이태원로 29,서울 용산구 용산동1가 8,126.977099,37.537046,역사/유적지,지명도/명소/핫플레이스,N,4.0,5.0,남,10~20,3,1,3,3,1,3,혼자,5.0
35,투스텝,관악구,서울 관악구 신림로 344,서울 관악구 신림동 1421-29,126.930085,37.485084,음식점/카페,과거 경험이 좋아서,N,3.0,3.0,남,10~20,1,1,2,2,1,3,혼자,3.0
36,싸다김밥 성신여대점,성북구,서울 성북구 동소문로 71-1,서울 성북구 동소문동6가 2,127.013296,37.592135,음식점/카페,가성비가 좋아서,N,4.0,4.0,여,30~40,2,3,1,2,3,1,친구,4.0
