시각,지역명,지역코드,혼잡도,최소인구수,최대인구수,전체도로소통평균속도,기온,습도,강수량,자외선지수단계,초미세먼지농도,미세먼지농도
2024-06-08 16:12,DDP(동대문디자인플라자),POI083,약간 붐빔,6500,7000,16,24.2,69,0,6,19,24
2024-06-08 17:14,DDP(동대문디자인플라자),POI083,약간 붐빔,6500,7000,15,24.2,61,0,6,14,19
2024-06-08 18:14,DDP(동대문디자인플라자),POI083,보통,5000,5500,16,24,60,0,6,12,20
2024-06-08 19:13,DDP(동대문디자인플라자),POI083,여유,4000,4500,16,23.2,64,0,1,11,17
2024-06-08 20:11,DDP(동대문디자인플라자),POI083,여유,3000,3500,18,22,72,0,1,12,20
2024-06-08 21:20,DDP(동대문디자인플라자),POI083,여유,2500,3000,16,21,77,0,0,15,20
2024-06-08 22:12,DDP(동대문디자인플라자),POI083,여유,2500,3000,19,20.6,79,0,0,13,19
2024-06-08 23:11,DDP(동대문디자인플라자),POI083,여유,2500,3000,19,20.2,80,0,0,13,20
2024-06-09 00:12,DDP(동대문디자인플라자),POI083,여유,2000,2500,20,19.6,83,0,0,13,22
2024-06-09 01:16,DDP(동대문디자인플라자),POI083,여유,1500,2000,20,19,85,0,0,15,23
