시각,지역명,지역코드,혼잡도,최소인구수,최대인구수,전체도로소통평균속도,기온,습도,강수량,자외선지수단계,초미세먼지농도,미세먼지농도
2024-06-08 16:12,광화문광장,POI088,여유,5500,6000,16,24.2,69,0,6,19,24
2024-06-08 17:14,광화문광장,POI088,보통,7000,7500,16,24.2,61,0,6,14,19
2024-06-08 18:14,광화문광장,POI088,보통,6000,6500,17,24,60,0,6,12,20
2024-06-08 19:13,광화문광장,POI088,여유,4500,5000,17,23.2,64,0,1,11,17
2024-06-08 20:11,광화문광장,POI088,여유,4000,4500,19,22,72,0,1,12,20
2024-06-08 21:20,광화문광장,POI088,여유,3500,4000,20,21,77,0,0,15,20
2024-06-08 22:12,광화문광장,POI088,여유,2500,3000,21,20.6,79,0,0,13,19
2024-06-08 23:12,광화문광장,POI088,여유,1000,1500,23,20.2,80,0,0,13,20
2024-06-09 00:12,광화문광장,POI088,여유,500,600,24,19.6,83,0,0,13,22
2024-06-09 01:16,광화문광장,POI088,여유,300,400,25,19,85,0,0,15,23
