시각,지역명,지역코드,혼잡도,최소인구수,최대인구수,전체도로소통평균속도,기온,습도,강수량,자외선지수단계,초미세먼지농도,미세먼지농도
2024-06-08 16:11,교대역,POI018,여유,9000,9500,19,24.9,60,0,6,11,25
2024-06-08 17:13,교대역,POI018,여유,9000,9500,18,24.5,60,0,6,10,17
2024-06-08 18:13,교대역,POI018,여유,9500,10000,18,24.6,60,0,6,9,17
2024-06-08 19:11,교대역,POI018,여유,9000,9500,21,23.1,65,0,1,8,16
2024-06-08 20:10,교대역,POI018,여유,8000,8500,21,22.1,69,0,1,6,13
2024-06-08 21:19,교대역,POI018,여유,7500,8000,22,20,80,0,1,8,15
2024-06-08 22:11,교대역,POI018,여유,6500,7000,23,19.9,79,0,0,8,15
2024-06-08 23:10,교대역,POI018,여유,5000,5500,23,18.8,87,0,0,9,19
2024-06-09 00:11,교대역,POI018,여유,3500,4000,25,18,89,0,0,8,20
2024-06-09 01:15,교대역,POI018,여유,2500,3000,24,17.9,88,0,0,11,15
2024-06-09 02:10,교대역,POI018,여유,2500,3000,23,17.3,90,0,0,19,24
2024-06-09 03:13,교대역,POI018,여유,2000,2500,24,17.1,92,0,0,15,24
2024-06-09 04:09,교대역,POI018,여유,2000,2500,24,16.8,93,0,0,15,27
2024-06-09 05:11,교대역,POI018,여유,2000,2500,24,16.6,94,0,0,17,29
2024-06-09 06:10,교대역,POI018,여유,2000,2500,24,16.5,94,0,0,16,25
2024-06-09 07:10,교대역,POI018,여유,2500,3000,22,19.5,84,0,2,14,24
2024-06-09 08:11,교대역,POI018,여유,3500,4000,23,21.4,74,0,2,14,30
2024-06-09 09:57,교대역,POI018,여유,6500,7000,21,23.5,61,0,6,19,31
2024-06-09 11:04,교대역,POI018,여유,7000,7500,21,25.7,55,0,6,13,30
2024-06-09 12:13,교대역,POI018,여유,9500,10000,21,27.3,51,0,6,17,32
2024-06-09 13:14,교대역,POI018,여유,9500,10000,20,26.4,51,0,7,16,35
2024-06-09 14:11,교대역,POI018,여유,10000,12000,20,27.9,48,0,7,20,40
2024-06-09 15:15,교대역,POI018,여유,9000,9500,21,28.8,48,0,7,24,39
2024-06-09 16:11,교대역,POI018,여유,8500,9000,20,28.4,45,0,6,24,38
2024-06-09 17:13,교대역,POI018,여유,9000,9500,20,28.1,46,0,6,20,37
2024-06-09 18:12,교대역,POI018,여유,9500,10000,21,26.4,49,0,6,25,39
2024-06-09 19:11,교대역,POI018,여유,9500,10000,21,25.7,51,0,1,21,39
2024-06-09 20:09,교대역,POI018,여유,8500,9000,22,23.8,60,0,1,25,37
2024-06-09 21:20,교대역,POI018,여유,6500,7000,24,22.7,65,0,0,18,32
2024-06-09 22:11,교대역,POI018,여유,5500,6000,25,22.6,64,0,0,21,36
2024-06-09 23:10,교대역,POI018,여유,4000,4500,25,21.7,68,0,0,25,36
2024-06-10 00:10,교대역,POI018,여유,3000,3500,24,19.8,77,0,0,22,35
2024-06-10 01:13,교대역,POI018,여유,2500,3000,25,19.8,76,0,0,25,35
2024-06-10 02:11,교대역,POI018,여유,2000,2500,25,19.1,81,0,0,23,36
2024-06-10 03:14,교대역,POI018,여유,2000,2500,25,18.3,85,0,0,24,42
2024-06-10 04:10,교대역,POI018,여유,2000,2500,26,18.1,88,0,0,27,48
2024-06-10 05:12,교대역,POI018,여유,2000,2500,26,18.3,88,0,0,29,38
2024-06-10 06:11,교대역,POI018,여유,2500,3000,25,18.4,87,0,0,22,35
2024-06-10 07:11,교대역,POI018,여유,4500,5000,23,20.2,80,0,2,22,42
2024-06-10 08:11,교대역,POI018,여유,9000,9500,21,22.5,71,0,2,22,39
2024-06-10 09:54,교대역,POI018,보통,16000,18000,19,26.6,51,0,7,26,50
2024-06-10 11:00,교대역,POI018,보통,16000,18000,19,27.4,49,0,7,18,52
2024-06-10 11:37,교대역,POI018,보통,18000,20000,18,27.3,50,0,7,18,52
2024-06-10 12:13,교대역,POI018,약간 붐빔,20000,22000,18,27.7,50,0,7,20,52
2024-06-10 13:16,교대역,POI018,약간 붐빔,20000,22000,19,30,45,0,8,25,61
2024-06-10 14:12,교대역,POI018,약간 붐빔,18000,20000,18,30.2,42,0,8,24,60
2024-06-10 15:17,교대역,POI018,약간 붐빔,18000,20000,17,31.1,43,0,8,26,75
2024-06-10 16:12,교대역,POI018,보통,18000,20000,17,30.3,50,0,5,30,80
2024-06-10 17:16,교대역,POI018,보통,18000,20000,17,29.6,52,0,5,28,87
2024-06-10 18:14,교대역,POI018,약간 붐빔,18000,20000,15,28.3,55,0,5,30,76
2024-06-10 19:13,교대역,POI018,약간 붐빔,18000,20000,17,27,58,0,1,31,65
2024-06-10 20:10,교대역,POI018,여유,14000,16000,21,25.5,65,0,1,26,62
2024-06-10 21:21,교대역,POI018,여유,10000,12000,21,24.5,71,0,0,30,60
