시각,지역명,지역코드,혼잡도,최소인구수,최대인구수,전체도로소통평균속도,기온,습도,강수량,자외선지수단계,초미세먼지농도,미세먼지농도
2024-06-08 16:12,국립중앙박물관·용산가족공원,POI089,보통,3000,3500,32,24.5,61,0,6,17,32
2024-06-08 17:14,국립중앙박물관·용산가족공원,POI089,보통,2500,3000,33,23.9,60,0,6,12,24
2024-06-08 18:14,국립중앙박물관·용산가족공원,POI089,여유,2000,2500,31,23.6,62,0,6,18,19
2024-06-08 19:13,국립중앙박물관·용산가족공원,POI089,여유,1500,2000,34,22.6,66,0,1,7,15
2024-06-08 20:11,국립중앙박물관·용산가족공원,POI089,여유,1500,2000,36,21.6,70,0,1,12,19
2024-06-08 21:20,국립중앙박물관·용산가족공원,POI089,여유,1000,1500,36,20.7,75,0,0,8,0
2024-06-08 22:12,국립중앙박물관·용산가족공원,POI089,여유,1000,1500,37,20.4,77,0,0,9,24
2024-06-08 23:12,국립중앙박물관·용산가족공원,POI089,여유,1000,1500,39,20.4,76,0,0,11,20
2024-06-09 00:12,국립중앙박물관·용산가족공원,POI089,여유,1000,1500,38,19.7,79,0,0,13,19
2024-06-09 01:16,국립중앙박물관·용산가족공원,POI089,여유,1000,1500,38,19.3,88,0,0,11,22
2024-06-09 02:11,국립중앙박물관·용산가족공원,POI089,여유,1000,1500,39,18.9,90,0,0,13,24
2024-06-09 03:14,국립중앙박물관·용산가족공원,POI089,여유,1000,1500,40,19,87,0,0,14,27
2024-06-09 04:10,국립중앙박물관·용산가족공원,POI089,여유,1000,1500,39,18.8,87,0,0,16,26
2024-06-09 05:12,국립중앙박물관·용산가족공원,POI089,여유,1000,1500,41,18.2,90,0,0,12,26
2024-06-09 06:11,국립중앙박물관·용산가족공원,POI089,여유,1000,1500,39,17.9,92,0,0,15,24
2024-06-09 07:11,국립중앙박물관·용산가족공원,POI089,여유,1000,1500,40,19.6,84,0,2,12,23
2024-06-09 08:12,국립중앙박물관·용산가족공원,POI089,여유,1000,1500,38,20.5,78,0,2,17,31
2024-06-09 09:58,국립중앙박물관·용산가족공원,POI089,여유,2000,2500,35,23.9,55,0,6,17,36
2024-06-09 11:05,국립중앙박물관·용산가족공원,POI089,여유,2500,3000,35,24.5,53,0,6,14,28
2024-06-09 12:14,국립중앙박물관·용산가족공원,POI089,보통,3000,3500,34,25.6,51,0,6,9,23
2024-06-09 13:15,국립중앙박물관·용산가족공원,POI089,보통,3000,3500,33,26.7,47,0,7,13,26
2024-06-09 14:12,국립중앙박물관·용산가족공원,POI089,보통,3000,3500,34,27.5,44,0,7,17,30
2024-06-09 15:16,국립중앙박물관·용산가족공원,POI089,보통,3000,3500,33,28.5,44,0,7,23,36
2024-06-09 16:12,국립중앙박물관·용산가족공원,POI089,보통,3000,3500,34,27.9,45,0,6,28,39
2024-06-09 17:14,국립중앙박물관·용산가족공원,POI089,여유,2500,3000,34,27,49,0,6,24,39
2024-06-09 18:13,국립중앙박물관·용산가족공원,POI089,여유,2000,2500,33,26.5,51,0,6,26,39
2024-06-09 19:12,국립중앙박물관·용산가족공원,POI089,여유,1500,2000,34,24.7,54,0,1,23,39
2024-06-09 20:10,국립중앙박물관·용산가족공원,POI089,여유,1500,2000,35,23.1,63,0,1,26,36
2024-06-09 21:21,국립중앙박물관·용산가족공원,POI089,여유,1000,1500,36,22.3,66,0,0,16,30
2024-06-09 22:12,국립중앙박물관·용산가족공원,POI089,여유,1000,1500,35,21.8,69,0,0,20,32
2024-06-09 23:11,국립중앙박물관·용산가족공원,POI089,여유,1000,1500,37,21.5,70,0,0,20,34
2024-06-10 00:12,국립중앙박물관·용산가족공원,POI089,여유,1000,1500,37,21.2,72,0,0,20,36
2024-06-10 01:14,국립중앙박물관·용산가족공원,POI089,여유,900,1000,39,20.7,74,0,0,19,35
2024-06-10 02:12,국립중앙박물관·용산가족공원,POI089,여유,1000,1500,38,20.1,79,0,0,18,34
2024-06-10 03:15,국립중앙박물관·용산가족공원,POI089,여유,1000,1500,38,19.8,81,0,0,20,35
2024-06-10 04:11,국립중앙박물관·용산가족공원,POI089,여유,1000,1500,39,19.3,83,0,0,24,36
2024-06-10 05:13,국립중앙박물관·용산가족공원,POI089,여유,1000,1500,37,19.3,84,0,0,19,34
