시각,지역명,지역코드,혼잡도,최소인구수,최대인구수,전체도로소통평균속도,기온,습도,강수량,자외선지수단계,초미세먼지농도,미세먼지농도
2024-06-08 16:12,낙산공원·이화마을,POI062,여유,200,300,17,24.2,69,0,6,24,28
2024-06-08 17:13,낙산공원·이화마을,POI062,여유,200,300,17,24.2,61,0,6,23,36
2024-06-08 18:14,낙산공원·이화마을,POI062,여유,200,300,18,24,60,0,6,18,25
2024-06-08 19:12,낙산공원·이화마을,POI062,여유,200,300,18,23.2,64,0,1,11,18
2024-06-08 20:10,낙산공원·이화마을,POI062,여유,200,300,18,22,72,0,1,10,23
2024-06-08 21:19,낙산공원·이화마을,POI062,여유,200,300,18,21.2,76,0,1,12,13
2024-06-08 22:12,낙산공원·이화마을,POI062,여유,200,300,18,20.6,79,0,0,0,22
2024-06-08 23:11,낙산공원·이화마을,POI062,여유,200,300,18,20.2,80,0,0,13,24
2024-06-09 00:12,낙산공원·이화마을,POI062,여유,200,300,18,19.6,83,0,0,13,21
2024-06-09 01:15,낙산공원·이화마을,POI062,여유,200,300,18,19,85,0,0,9,22
2024-06-09 02:11,낙산공원·이화마을,POI062,여유,200,300,18,18.6,88,0,0,10,20
2024-06-09 03:14,낙산공원·이화마을,POI062,여유,200,300,18,18.1,89,0,0,12,25
2024-06-09 04:10,낙산공원·이화마을,POI062,여유,200,300,18,17.7,90,0,0,10,24
2024-06-09 05:11,낙산공원·이화마을,POI062,여유,200,300,18,17.7,90,0,0,10,22
2024-06-09 06:11,낙산공원·이화마을,POI062,여유,200,300,18,17.4,91,0,0,15,20
2024-06-09 07:11,낙산공원·이화마을,POI062,여유,200,300,18,18.2,91,0,2,15,22
2024-06-09 08:12,낙산공원·이화마을,POI062,여유,200,300,18,20.3,84,0,2,14,30
2024-06-09 09:57,낙산공원·이화마을,POI062,여유,200,300,17,23.2,67,0,6,15,35
2024-06-09 11:04,낙산공원·이화마을,POI062,여유,200,300,17,25,61,0,6,18,29
2024-06-09 12:13,낙산공원·이화마을,POI062,여유,200,300,18,26,55,0,6,17,31
2024-06-09 13:14,낙산공원·이화마을,POI062,여유,200,300,18,26.8,50,0,7,19,34
2024-06-09 14:11,낙산공원·이화마을,POI062,여유,200,300,18,27.8,51,0,7,19,32
2024-06-09 15:15,낙산공원·이화마을,POI062,여유,200,300,18,28.8,49,0,7,16,32
2024-06-09 16:12,낙산공원·이화마을,POI062,여유,200,300,18,28.5,49,0,6,15,27
2024-06-09 17:14,낙산공원·이화마을,POI062,여유,200,300,18,27.4,52,0,6,28,38
2024-06-09 18:13,낙산공원·이화마을,POI062,여유,200,300,19,26.8,52,0,6,29,40
2024-06-09 19:12,낙산공원·이화마을,POI062,여유,200,300,18,25.3,60,0,1,24,36
2024-06-09 20:10,낙산공원·이화마을,POI062,보통,200,300,21,23.6,65,0,1,18,35
2024-06-09 21:21,낙산공원·이화마을,POI062,여유,200,300,22,22.7,68,0,0,17,30
2024-06-09 22:12,낙산공원·이화마을,POI062,여유,200,300,24,22,69,0,0,21,37
2024-06-09 23:11,낙산공원·이화마을,POI062,여유,200,300,24,21.4,72,0,0,21,38
2024-06-10 00:11,낙산공원·이화마을,POI062,여유,200,300,25,21,73,0,0,24,41
2024-06-10 01:13,낙산공원·이화마을,POI062,여유,200,300,25,20.5,76,0,0,23,42
2024-06-10 02:12,낙산공원·이화마을,POI062,여유,200,300,25,20,78,0,0,28,43
2024-06-10 03:14,낙산공원·이화마을,POI062,여유,200,300,25,19.7,79,0,0,27,43
2024-06-10 04:11,낙산공원·이화마을,POI062,여유,200,300,25,19.5,81,0,0,21,29
2024-06-10 05:13,낙산공원·이화마을,POI062,여유,200,300,25,19.3,83,0,0,21,34
2024-06-10 06:12,낙산공원·이화마을,POI062,여유,200,300,20,19,85,0,0,19,37
2024-06-10 07:11,낙산공원·이화마을,POI062,여유,200,300,18,20,83,0,2,25,43
2024-06-10 08:12,낙산공원·이화마을,POI062,여유,200,300,18,22,75,0,2,25,41
2024-06-10 09:55,낙산공원·이화마을,POI062,여유,200,300,19,25,57,0,7,28,48
2024-06-10 11:01,낙산공원·이화마을,POI062,여유,200,300,20,26.4,53,0,7,23,48
2024-06-10 11:38,낙산공원·이화마을,POI062,여유,200,300,19,27.7,54,0,7,23,48
2024-06-10 12:13,낙산공원·이화마을,POI062,여유,100,200,18,27.9,52,0,7,17,48
2024-06-10 13:17,낙산공원·이화마을,POI062,여유,100,200,18,29.5,48,0,8,21,58
2024-06-10 14:12,낙산공원·이화마을,POI062,여유,200,300,17,30.5,46,0,8,28,61
2024-06-10 15:18,낙산공원·이화마을,POI062,여유,200,300,17,30.9,44,0,8,26,64
2024-06-10 16:12,낙산공원·이화마을,POI062,여유,200,300,17,29.6,51,0,5,28,70
2024-06-10 17:17,낙산공원·이화마을,POI062,여유,200,300,17,29.8,51,0,5,36,72
2024-06-10 18:14,낙산공원·이화마을,POI062,여유,200,300,17,28.6,54,0,5,32,58
2024-06-10 19:14,낙산공원·이화마을,POI062,여유,200,300,17,26.8,62,0,1,33,71
2024-06-10 20:11,낙산공원·이화마을,POI062,여유,200,300,17,24.5,71,0,1,34,61
2024-06-10 21:22,낙산공원·이화마을,POI062,여유,200,300,17,23.7,75,0,0,27,55
2024-06-10 22:15,낙산공원·이화마을,POI062,여유,200,300,17,23.2,78,0,0,26,54
2024-06-10 23:13,낙산공원·이화마을,POI062,여유,200,300,17,22.9,80,0,0,37,56
2024-06-11 00:14,낙산공원·이화마을,POI062,여유,200,300,17,23.1,78,0,0,37,56
2024-06-11 01:15,낙산공원·이화마을,POI062,여유,200,300,17,22.9,78,0,0,32,51
2024-06-11 02:10,낙산공원·이화마을,POI062,여유,200,300,17,22.6,78,0,0,43,76
2024-06-11 03:15,낙산공원·이화마을,POI062,여유,200,300,17,22.4,79,0,0,44,66
2024-06-11 04:10,낙산공원·이화마을,POI062,여유,200,300,17,22.2,78,0,0,42,71
2024-06-11 05:12,낙산공원·이화마을,POI062,여유,200,300,17,22,78,0,0,47,68
