시각,지역명,지역코드,혼잡도,최소인구수,최대인구수,전체도로소통평균속도,기온,습도,강수량,자외선지수단계,초미세먼지농도,미세먼지농도
2024-06-08 16:13,북서울꿈의숲,POI096,여유,4500,5000,22,22.4,76,0,6,20,22
2024-06-08 17:14,북서울꿈의숲,POI096,여유,5000,5500,23,22.2,74,0,6,19,24
2024-06-08 18:14,북서울꿈의숲,POI096,여유,5000,5500,22,21.7,78,0,6,20,23
2024-06-08 19:13,북서울꿈의숲,POI096,여유,5000,5500,22,19.7,89,0,1,13,18
2024-06-08 20:11,북서울꿈의숲,POI096,보통,5000,5500,25,18.5,92,0,1,11,17
2024-06-08 21:20,북서울꿈의숲,POI096,보통,5000,5500,25,17.5,94,0,0,15,24
2024-06-08 22:12,북서울꿈의숲,POI096,여유,4500,5000,25,17.2,95,0,0,12,22
2024-06-08 23:12,북서울꿈의숲,POI096,여유,4500,5000,25,16.8,96,0,0,10,21
2024-06-09 00:12,북서울꿈의숲,POI096,여유,4500,5000,26,16.6,96,0,0,11,22
2024-06-09 01:16,북서울꿈의숲,POI096,여유,4000,4500,26,16.2,97,0,0,10,28
2024-06-09 02:12,북서울꿈의숲,POI096,여유,4000,4500,26,15.8,97,0,0,13,21
2024-06-09 03:15,북서울꿈의숲,POI096,여유,4000,4500,26,15.6,98,0,0,10,20
2024-06-09 04:10,북서울꿈의숲,POI096,여유,4000,4500,26,15.4,98,0,0,11,22
2024-06-09 05:12,북서울꿈의숲,POI096,여유,4000,4500,27,15.5,98,0,0,10,19
2024-06-09 06:11,북서울꿈의숲,POI096,여유,4500,5000,26,15.6,98,0,0,13,19
2024-06-09 07:11,북서울꿈의숲,POI096,여유,4500,5000,25,17.2,98,0,2,9,20
2024-06-09 08:12,북서울꿈의숲,POI096,여유,4500,5000,23,20.8,80,0,2,8,21
2024-06-09 09:58,북서울꿈의숲,POI096,여유,4500,5000,22,23.8,64,0,6,13,20
2024-06-09 11:05,북서울꿈의숲,POI096,여유,4500,5000,22,24.9,59,0,6,16,24
2024-06-09 12:14,북서울꿈의숲,POI096,여유,4500,5000,22,26.3,51,0,6,16,26
2024-06-09 13:15,북서울꿈의숲,POI096,여유,4500,5000,22,28.4,50,0,7,15,22
2024-06-09 14:12,북서울꿈의숲,POI096,여유,4500,5000,22,28.5,48,0,7,20,25
2024-06-09 15:16,북서울꿈의숲,POI096,보통,5000,5500,21,27.9,44,0,7,19,25
2024-06-09 16:12,북서울꿈의숲,POI096,보통,5000,5500,21,28.5,45,0,6,13,22
2024-06-09 17:14,북서울꿈의숲,POI096,보통,5000,5500,22,26.9,52,0,6,19,25
2024-06-09 18:13,북서울꿈의숲,POI096,보통,5000,5500,22,26,55,0,6,29,37
2024-06-09 19:12,북서울꿈의숲,POI096,보통,5000,5500,22,23.8,60,0,1,32,44
2024-06-09 20:10,북서울꿈의숲,POI096,보통,5000,5500,22,21.6,72,0,1,25,36
2024-06-09 21:21,북서울꿈의숲,POI096,보통,5000,5500,23,21.1,73,0,0,21,30
2024-06-09 22:13,북서울꿈의숲,POI096,여유,4500,5000,24,19.9,77,0,0,22,31
2024-06-09 23:11,북서울꿈의숲,POI096,여유,4500,5000,25,18.8,81,0,0,20,27
2024-06-10 00:12,북서울꿈의숲,POI096,여유,4500,5000,26,18.4,82,0,0,21,28
2024-06-10 01:14,북서울꿈의숲,POI096,여유,4000,4500,27,17.9,84,0,0,21,27
2024-06-10 02:12,북서울꿈의숲,POI096,여유,4000,4500,26,17.4,87,0,0,19,29
2024-06-10 03:15,북서울꿈의숲,POI096,여유,4000,4500,27,17,89,0,0,20,26
2024-06-10 04:11,북서울꿈의숲,POI096,여유,4000,4500,26,16.7,91,0,0,20,26
2024-06-10 05:13,북서울꿈의숲,POI096,여유,4000,4500,26,16.4,92,0,0,21,27
2024-06-10 06:12,북서울꿈의숲,POI096,여유,4000,4500,24,17.2,92,0,0,22,31
2024-06-10 07:12,북서울꿈의숲,POI096,여유,4500,5000,23,20.1,80,0,2,22,28
2024-06-10 08:12,북서울꿈의숲,POI096,여유,4000,4500,22,22.1,72,0,2,20,28
2024-06-10 09:55,북서울꿈의숲,POI096,여유,3500,4000,22,25.6,56,0,7,24,35
2024-06-10 11:01,북서울꿈의숲,POI096,여유,3500,4000,22,26.5,50,0,7,24,35
2024-06-10 11:38,북서울꿈의숲,POI096,여유,3500,4000,22,27.2,46,0,7,24,35
2024-06-10 12:14,북서울꿈의숲,POI096,여유,3000,3500,23,28.2,49,0,7,17,0
2024-06-10 13:18,북서울꿈의숲,POI096,여유,3000,3500,22,29.5,47,0,8,18,51
