시각,지역명,지역코드,혼잡도,최소인구수,최대인구수,전체도로소통평균속도,기온,습도,강수량,자외선지수단계,초미세먼지농도,미세먼지농도
2024-06-08 16:13,북창동 먹자골목,POI114,여유,5500,6000,13,24.2,69,0,6,16,23
2024-06-08 17:14,북창동 먹자골목,POI114,여유,5500,6000,14,24.2,61,0,6,14,18
2024-06-08 18:14,북창동 먹자골목,POI114,여유,5000,5500,14,24,60,0,6,16,0
2024-06-08 19:13,북창동 먹자골목,POI114,여유,4000,4500,16,23.2,64,0,1,8,11
2024-06-08 20:11,북창동 먹자골목,POI114,여유,3500,4000,17,22,72,0,1,10,11
2024-06-08 21:20,북창동 먹자골목,POI114,여유,2500,3000,18,21,77,0,0,12,15
2024-06-08 22:13,북창동 먹자골목,POI114,여유,2000,2500,19,20.6,79,0,0,13,15
2024-06-08 23:12,북창동 먹자골목,POI114,여유,1500,2000,19,20.2,80,0,0,12,16
2024-06-09 00:13,북창동 먹자골목,POI114,여유,1000,1500,22,19.6,83,0,0,16,19
2024-06-09 01:16,북창동 먹자골목,POI114,여유,1000,1500,22,19,85,0,0,14,20
2024-06-09 02:12,북창동 먹자골목,POI114,여유,800,900,22,18.6,88,0,0,16,23
2024-06-09 03:15,북창동 먹자골목,POI114,여유,600,700,21,18.1,89,0,0,17,25
2024-06-09 04:11,북창동 먹자골목,POI114,여유,700,800,23,17.7,90,0,0,15,21
2024-06-09 05:12,북창동 먹자골목,POI114,여유,600,700,23,17.7,90,0,0,14,20
2024-06-09 06:11,북창동 먹자골목,POI114,여유,700,800,22,17.4,91,0,0,14,21
2024-06-09 07:11,북창동 먹자골목,POI114,여유,700,800,21,18.2,91,0,2,14,20
2024-06-09 08:13,북창동 먹자골목,POI114,여유,800,900,21,20.3,84,0,2,15,21
2024-06-09 09:58,북창동 먹자골목,POI114,여유,1000,1500,19,23.2,67,0,6,14,22
2024-06-09 11:05,북창동 먹자골목,POI114,여유,2000,2500,17,25,61,0,6,6,12
2024-06-09 12:14,북창동 먹자골목,POI114,여유,3000,3500,17,26,55,0,6,18,0
2024-06-09 13:15,북창동 먹자골목,POI114,여유,3500,4000,17,26.8,50,0,7,20,22
2024-06-09 14:12,북창동 먹자골목,POI114,여유,3500,4000,17,27.8,51,0,7,19,26
2024-06-09 15:16,북창동 먹자골목,POI114,여유,3500,4000,17,28.8,49,0,7,18,22
2024-06-09 16:12,북창동 먹자골목,POI114,여유,3500,4000,15,28.5,49,0,6,21,23
2024-06-09 17:14,북창동 먹자골목,POI114,여유,3000,3500,16,27.4,52,0,6,25,29
2024-06-09 18:13,북창동 먹자골목,POI114,여유,3000,3500,18,26.8,52,0,6,34,36
2024-06-09 19:12,북창동 먹자골목,POI114,여유,2500,3000,17,25.3,60,0,1,28,32
2024-06-09 20:10,북창동 먹자골목,POI114,여유,2000,2500,18,23.4,65,0,1,19,27
2024-06-09 21:22,북창동 먹자골목,POI114,여유,1500,2000,19,22.7,68,0,0,21,26
2024-06-09 22:13,북창동 먹자골목,POI114,여유,1000,1500,20,22,69,0,0,18,24
2024-06-09 23:12,북창동 먹자골목,POI114,여유,900,1000,21,21.4,72,0,0,18,25
2024-06-10 00:12,북창동 먹자골목,POI114,여유,700,800,21,21,73,0,0,24,31
2024-06-10 01:14,북창동 먹자골목,POI114,여유,700,800,22,20.5,76,0,0,19,26
2024-06-10 02:12,북창동 먹자골목,POI114,여유,600,700,23,20,78,0,0,23,30
2024-06-10 03:15,북창동 먹자골목,POI114,여유,600,700,23,19.7,79,0,0,22,28
2024-06-10 04:11,북창동 먹자골목,POI114,여유,600,700,22,19.5,81,0,0,22,27
2024-06-10 05:14,북창동 먹자골목,POI114,여유,600,700,23,19.3,83,0,0,23,27
2024-06-10 06:13,북창동 먹자골목,POI114,여유,800,900,21,19,85,0,0,27,29
2024-06-10 07:12,북창동 먹자골목,POI114,여유,1000,1500,18,20,83,0,2,27,35
2024-06-10 08:13,북창동 먹자골목,POI114,여유,2000,2500,16,22,75,0,2,24,34
2024-06-10 09:56,북창동 먹자골목,POI114,여유,6000,6500,15,25,57,0,7,20,27
2024-06-10 11:02,북창동 먹자골목,POI114,여유,7500,8000,15,26.4,53,0,7,18,27
2024-06-10 11:39,북창동 먹자골목,POI114,보통,8500,9000,15,27.7,54,0,7,18,27
2024-06-10 12:14,북창동 먹자골목,POI114,약간 붐빔,12000,14000,15,27.9,52,0,7,20,33
2024-06-10 13:18,북창동 먹자골목,POI114,약간 붐빔,10000,12000,15,29.5,48,0,8,27,38
2024-06-10 14:13,북창동 먹자골목,POI114,보통,9500,10000,15,30.5,46,0,8,30,40
2024-06-10 15:19,북창동 먹자골목,POI114,보통,9000,9500,15,30.9,44,0,8,27,39
2024-06-10 16:13,북창동 먹자골목,POI114,보통,8500,9000,14,29.6,51,0,5,33,47
2024-06-10 17:18,북창동 먹자골목,POI114,보통,8000,8500,16,29.8,51,0,5,0,0
2024-06-10 18:15,북창동 먹자골목,POI114,여유,7500,8000,16,28.6,54,0,5,21,28
2024-06-10 19:15,북창동 먹자골목,POI114,여유,7500,8000,16,26.8,62,0,1,36,44
2024-06-10 20:12,북창동 먹자골목,POI114,여유,6000,6500,17,24.5,71,0,1,40,49
2024-06-10 21:22,북창동 먹자골목,POI114,여유,4000,4500,19,23.7,75,0,0,34,45
2024-06-10 22:16,북창동 먹자골목,POI114,여유,3000,3500,18,23.2,78,0,0,32,42
2024-06-10 23:14,북창동 먹자골목,POI114,여유,1500,2000,20,22.9,80,0,0,30,43
2024-06-11 00:15,북창동 먹자골목,POI114,여유,1000,1500,21,23.1,78,0,0,30,43
2024-06-11 01:16,북창동 먹자골목,POI114,여유,900,1000,21,22.9,78,0,0,31,47
2024-06-11 02:11,북창동 먹자골목,POI114,여유,800,900,22,22.6,78,0,0,38,53
2024-06-11 03:16,북창동 먹자골목,POI114,여유,700,800,23,22.4,79,0,0,41,57
2024-06-11 04:11,북창동 먹자골목,POI114,여유,600,700,24,22.2,78,0,0,47,59
2024-06-11 05:13,북창동 먹자골목,POI114,여유,600,700,22,22,78,0,0,36,51
2024-06-11 06:13,북창동 먹자골목,POI114,여유,800,900,21,22,77,0,0,38,49
2024-06-11 07:14,북창동 먹자골목,POI114,여유,1000,1500,18,22.2,76,0,1,38,54
2024-06-11 08:12,북창동 먹자골목,POI114,여유,2500,3000,17,23.2,73,0,1,42,61
2024-06-11 09:55,북창동 먹자골목,POI114,여유,6000,6500,15,25.1,65,0,8,48,67
2024-06-11 11:00,북창동 먹자골목,POI114,여유,7000,7500,14,26.6,59,0,8,42,58
2024-06-11 11:35,북창동 먹자골목,POI114,보통,8500,9000,14,27.6,56,0,8,42,58
2024-06-11 12:15,북창동 먹자골목,POI114,약간 붐빔,12000,14000,14,28.5,53,0,8,45,59
2024-06-11 13:15,북창동 먹자골목,POI114,약간 붐빔,12000,14000,14,29.7,51,0,5,46,56
2024-06-11 14:14,북창동 먹자골목,POI114,보통,9500,10000,14,30.6,50,0,5,46,55
2024-06-11 15:17,북창동 먹자골목,POI114,보통,9000,9500,14,31.2,49,0,5,43,53
2024-06-11 16:13,북창동 먹자골목,POI114,보통,8500,9000,16,31.4,48,0,5,43,53
2024-06-11 17:17,북창동 먹자골목,POI114,보통,8000,8500,14,29.7,41,0,5,53,63
2024-06-11 18:15,북창동 먹자골목,POI114,보통,8000,8500,16,28.9,43,0,5,40,53
2024-06-11 19:14,북창동 먹자골목,POI114,여유,7500,8000,16,26.7,52,0,1,25,45
2024-06-11 20:12,북창동 먹자골목,POI114,여유,6500,7000,17,25.2,58,0,1,21,40
2024-06-11 21:23,북창동 먹자골목,POI114,여유,4500,5000,18,23.6,60,0,0,17,36
2024-06-11 22:16,북창동 먹자골목,POI114,여유,3500,4000,19,23,66,0,0,18,32
2024-06-11 23:13,북창동 먹자골목,POI114,여유,2000,2500,20,22.3,67,0,0,9,19
2024-06-12 00:13,북창동 먹자골목,POI114,여유,1500,2000,21,21.9,68,0,0,9,19
2024-06-12 01:16,북창동 먹자골목,POI114,여유,1000,1500,21,21.2,70,0,0,7,15
2024-06-12 02:13,북창동 먹자골목,POI114,여유,900,1000,20,20.7,73,0,0,8,17
2024-06-12 03:18,북창동 먹자골목,POI114,여유,800,900,22,20.4,77,0,0,11,18
2024-06-12 04:11,북창동 먹자골목,POI114,여유,700,800,21,19.8,76,0,0,13,19
2024-06-12 05:14,북창동 먹자골목,POI114,여유,600,700,22,19.4,80,0,0,11,20
2024-06-12 07:12,북창동 먹자골목,POI114,여유,1000,1500,19,19.9,82,0,1,13,21
2024-06-12 08:13,북창동 먹자골목,POI114,여유,2000,2500,16,21.9,73,0,1,15,25
2024-06-12 09:55,북창동 먹자골목,POI114,여유,6000,6500,15,25.3,51,0,7,7,19
2024-06-12 11:00,북창동 먹자골목,POI114,여유,7500,8000,14,27.5,50,0,7,11,22
2024-06-12 11:35,북창동 먹자골목,POI114,보통,8500,9000,15,28.5,46,0,7,11,22
2024-06-12 12:15,북창동 먹자골목,POI114,약간 붐빔,12000,14000,13,29.3,42,0,7,13,23
2024-06-12 13:15,북창동 먹자골목,POI114,약간 붐빔,10000,12000,13,30.6,39,0,9,20,28
2024-06-12 14:14,북창동 먹자골목,POI114,보통,9500,10000,14,31.5,38,0,9,19,27
2024-06-12 15:17,북창동 먹자골목,POI114,보통,9000,9500,14,30.9,43,0,9,18,28
2024-06-12 16:14,북창동 먹자골목,POI114,보통,9500,10000,13,30,43,0,5,27,38
2024-06-12 17:16,북창동 먹자골목,POI114,보통,8500,9000,13,28.7,44,0,5,37,49
2024-06-12 18:14,북창동 먹자골목,POI114,보통,8000,8500,14,28,50,0,5,35,46
2024-06-12 19:14,북창동 먹자골목,POI114,보통,8500,9000,14,25.3,56,0,1,21,32
2024-06-12 20:11,북창동 먹자골목,POI114,여유,7000,7500,18,24.2,63,0,1,21,37
2024-06-12 21:23,북창동 먹자골목,POI114,여유,5000,5500,18,23.3,65,0,0,14,27
2024-06-12 22:15,북창동 먹자골목,POI114,여유,4000,4500,18,22.8,65,0,0,14,24
2024-06-12 23:12,북창동 먹자골목,POI114,여유,2500,3000,19,22.5,66,0,0,10,18
2024-06-13 00:12,북창동 먹자골목,POI114,여유,1500,2000,21,22.2,66,0,0,10,18
2024-06-13 01:16,북창동 먹자골목,POI114,여유,1000,1500,22,22.2,67,0,0,11,18
2024-06-13 02:11,북창동 먹자골목,POI114,여유,1000,1500,23,21.5,64,0,0,11,18
2024-06-13 03:17,북창동 먹자골목,POI114,여유,800,900,23,21,65,0,0,12,18
2024-06-13 04:12,북창동 먹자골목,POI114,여유,700,800,24,20.7,69,0,0,10,18
2024-06-13 05:13,북창동 먹자골목,POI114,여유,700,800,23,20.1,69,0,0,12,16
2024-06-13 06:13,북창동 먹자골목,POI114,여유,800,900,20,20.1,71,0,0,14,18
2024-06-13 07:12,북창동 먹자골목,POI114,여유,1000,1500,18,21.1,72,0,2,11,16
2024-06-13 08:13,북창동 먹자골목,POI114,여유,1500,2000,16,23.3,66,0,2,14,17
