시각,지역명,지역코드,혼잡도,최소인구수,최대인구수,전체도로소통평균속도,기온,습도,강수량,자외선지수단계,초미세먼지농도,미세먼지농도
2024-06-08 16:12,북촌한옥마을,POI066,보통,18000,20000,15,24.2,69,0,6,19,24
2024-06-08 17:14,북촌한옥마을,POI066,보통,18000,20000,16,24.2,61,0,6,14,19
2024-06-08 18:14,북촌한옥마을,POI066,여유,14000,16000,16,24,60,0,6,12,20
2024-06-08 19:12,북촌한옥마을,POI066,여유,12000,14000,18,23.2,64,0,1,11,17
2024-06-08 20:11,북촌한옥마을,POI066,여유,10000,12000,19,22,72,0,1,12,20
2024-06-08 21:20,북촌한옥마을,POI066,여유,8000,8500,20,21.2,76,0,1,15,20
2024-06-08 22:12,북촌한옥마을,POI066,여유,6500,7000,22,20.6,79,0,0,13,19
2024-06-08 23:11,북촌한옥마을,POI066,여유,5500,6000,23,20.2,80,0,0,13,20
2024-06-09 00:12,북촌한옥마을,POI066,여유,5000,5500,24,19.6,83,0,0,13,22
2024-06-09 01:15,북촌한옥마을,POI066,여유,4000,4500,26,19,85,0,0,15,23
2024-06-09 02:11,북촌한옥마을,POI066,여유,4000,4500,25,18.6,88,0,0,20,28
2024-06-09 03:14,북촌한옥마을,POI066,여유,4500,5000,26,18.1,89,0,0,17,28
