시각,지역명,지역코드,혼잡도,최소인구수,최대인구수,전체도로소통평균속도,기온,습도,강수량,자외선지수단계,초미세먼지농도,미세먼지농도
2024-06-08 16:11,북한산우이역,POI028,보통,1500,2000,20,22.2,74,0,6,20,22
2024-06-08 17:13,북한산우이역,POI028,보통,1500,2000,21,23.2,67,0,6,19,24
2024-06-08 18:13,북한산우이역,POI028,여유,1000,1500,21,23,67,0,6,20,23
2024-06-08 19:12,북한산우이역,POI028,여유,1500,2000,21,21.4,70,0,1,13,18
2024-06-08 20:10,북한산우이역,POI028,여유,1000,1500,25,19.8,77,0,1,11,17
2024-06-08 21:19,북한산우이역,POI028,여유,1000,1500,22,19.3,80,0,1,15,24
2024-06-08 22:11,북한산우이역,POI028,여유,1000,1500,23,18.8,80,0,0,12,22
2024-06-08 23:11,북한산우이역,POI028,여유,1000,1500,23,18.4,89,0,0,10,21
2024-06-09 00:11,북한산우이역,POI028,여유,1000,1500,24,17.8,94,0,0,11,22
2024-06-09 01:15,북한산우이역,POI028,여유,1000,1500,25,17.3,98,0,0,10,28
2024-06-09 02:10,북한산우이역,POI028,여유,1000,1500,25,17.3,97,0,0,13,21
2024-06-09 03:14,북한산우이역,POI028,여유,1000,1500,27,17.1,97,0,0,10,20
2024-06-09 04:09,북한산우이역,POI028,여유,1000,1500,26,17.1,95,0,0,11,22
2024-06-09 05:11,북한산우이역,POI028,여유,1000,1500,26,17,96,0,0,10,19
2024-06-09 06:10,북한산우이역,POI028,여유,1000,1500,25,16.8,97,0,0,13,19
2024-06-09 07:10,북한산우이역,POI028,여유,1000,1500,24,17.7,93,0,2,9,20
2024-06-09 08:11,북한산우이역,POI028,여유,1000,1500,22,20.6,78,0,2,8,21
2024-06-09 09:57,북한산우이역,POI028,여유,1000,1500,20,22.1,65,0,6,13,20
2024-06-09 11:04,북한산우이역,POI028,여유,1500,2000,21,24.1,55,0,6,16,24
2024-06-09 12:13,북한산우이역,POI028,보통,1500,2000,21,24.9,51,0,6,16,26
2024-06-09 13:14,북한산우이역,POI028,보통,1500,2000,19,25.6,52,0,7,15,22
2024-06-09 14:11,북한산우이역,POI028,보통,1500,2000,18,27.5,51,0,7,20,25
2024-06-09 15:15,북한산우이역,POI028,보통,2000,2500,18,29.1,49,0,7,19,25
2024-06-09 16:11,북한산우이역,POI028,보통,1500,2000,20,27.7,52,0,6,13,22
2024-06-09 17:13,북한산우이역,POI028,보통,1500,2000,19,26.7,51,0,6,19,25
2024-06-09 18:12,북한산우이역,POI028,여유,1500,2000,19,26.1,56,0,6,29,37
2024-06-09 19:11,북한산우이역,POI028,여유,1000,1500,18,24.2,58,0,1,32,44
2024-06-09 20:09,북한산우이역,POI028,여유,1000,1500,19,21.8,71,0,1,25,36
2024-06-09 21:20,북한산우이역,POI028,여유,1000,1500,20,20.4,77,0,0,21,30
2024-06-09 22:11,북한산우이역,POI028,여유,900,1000,21,20.2,79,0,0,22,31
2024-06-09 23:10,북한산우이역,POI028,여유,900,1000,21,19.8,80,0,0,20,27
