시각,지역명,지역코드,혼잡도,최소인구수,최대인구수,전체도로소통평균속도,기온,습도,강수량,자외선지수단계,초미세먼지농도,미세먼지농도
2024-06-08 16:11,삼각지역,POI030,여유,2000,2500,18,24.5,61,0,6,17,32
2024-06-08 17:13,삼각지역,POI030,여유,2000,2500,19,23.9,60,0,6,12,24
2024-06-08 18:13,삼각지역,POI030,여유,2000,2500,21,23.6,62,0,6,18,19
2024-06-08 19:12,삼각지역,POI030,여유,2000,2500,23,22.6,66,0,1,7,15
2024-06-08 20:10,삼각지역,POI030,여유,2000,2500,26,21.6,70,0,1,12,19
2024-06-08 21:19,삼각지역,POI030,여유,1500,2000,25,21.1,73,0,1,8,0
2024-06-08 22:11,삼각지역,POI030,여유,1500,2000,29,20.4,77,0,0,9,24
2024-06-08 23:11,삼각지역,POI030,여유,1500,2000,29,20.4,76,0,0,11,20
2024-06-09 00:11,삼각지역,POI030,여유,1000,1500,33,19.7,79,0,0,13,19
2024-06-09 01:15,삼각지역,POI030,여유,1000,1500,34,19.3,88,0,0,11,22
2024-06-09 02:10,삼각지역,POI030,여유,1000,1500,33,18.9,90,0,0,13,24
2024-06-09 03:14,삼각지역,POI030,여유,1000,1500,35,19,87,0,0,14,27
2024-06-09 04:09,삼각지역,POI030,여유,1000,1500,36,18.9,87,0,0,16,26
2024-06-09 05:11,삼각지역,POI030,여유,1000,1500,36,18.2,90,0,0,12,26
2024-06-09 06:10,삼각지역,POI030,여유,1000,1500,32,17.9,92,0,0,15,24
2024-06-09 07:10,삼각지역,POI030,여유,1000,1500,33,19.6,84,0,2,12,23
2024-06-09 08:11,삼각지역,POI030,여유,1000,1500,31,20.5,78,0,2,17,31
2024-06-09 09:57,삼각지역,POI030,여유,1500,2000,29,23.9,55,0,6,17,36
2024-06-09 11:04,삼각지역,POI030,여유,1500,2000,25,24.5,53,0,6,14,28
2024-06-09 12:13,삼각지역,POI030,여유,2000,2500,26,25.6,51,0,6,9,23
2024-06-09 13:14,삼각지역,POI030,여유,2000,2500,24,26.7,47,0,7,13,26
2024-06-09 14:11,삼각지역,POI030,여유,2000,2500,22,27.5,44,0,7,17,30
2024-06-09 15:15,삼각지역,POI030,여유,2000,2500,21,28.5,44,0,7,23,36
2024-06-09 16:11,삼각지역,POI030,여유,2000,2500,21,27.9,45,0,6,28,39
2024-06-09 17:13,삼각지역,POI030,여유,2000,2500,22,27,49,0,6,24,39
2024-06-09 18:12,삼각지역,POI030,여유,1500,2000,22,26.5,51,0,6,26,39
2024-06-09 19:11,삼각지역,POI030,여유,1500,2000,26,25.7,52,0,1,23,39
2024-06-09 20:09,삼각지역,POI030,여유,1500,2000,26,23.3,62,0,1,26,36
2024-06-09 21:20,삼각지역,POI030,여유,1500,2000,28,22.3,66,0,0,16,30
2024-06-09 22:11,삼각지역,POI030,여유,1500,2000,31,21.8,69,0,0,20,32
2024-06-09 23:10,삼각지역,POI030,여유,1500,2000,33,21.5,70,0,0,20,34
2024-06-10 00:11,삼각지역,POI030,여유,1000,1500,35,21.2,72,0,0,20,36
2024-06-10 01:13,삼각지역,POI030,여유,1000,1500,37,20.7,74,0,0,19,35
2024-06-10 02:11,삼각지역,POI030,여유,1000,1500,37,20.1,79,0,0,18,34
2024-06-10 03:14,삼각지역,POI030,여유,1000,1500,38,19.8,81,0,0,20,35
2024-06-10 04:10,삼각지역,POI030,여유,1000,1500,36,19.3,83,0,0,24,36
2024-06-10 05:12,삼각지역,POI030,여유,1000,1500,35,19.3,84,0,0,19,34
2024-06-10 06:11,삼각지역,POI030,여유,1000,1500,34,20,80,0,0,20,32
2024-06-10 07:11,삼각지역,POI030,여유,1500,2000,26,20.8,76,0,2,19,35
2024-06-10 08:11,삼각지역,POI030,여유,2000,2500,23,22.3,70,0,2,28,40
2024-06-10 09:54,삼각지역,POI030,여유,2500,3000,21,25.3,56,0,7,31,46
2024-06-10 11:00,삼각지역,POI030,여유,2500,3000,23,26.4,49,0,7,26,43
2024-06-10 11:37,삼각지역,POI030,여유,2500,3000,23,26.9,48,0,7,26,43
2024-06-10 12:13,삼각지역,POI030,여유,2500,3000,25,28.1,49,0,7,20,40
2024-06-10 13:17,삼각지역,POI030,여유,2500,3000,24,28.7,47,0,8,0,0
2024-06-10 14:12,삼각지역,POI030,여유,2500,3000,20,29.9,43,0,8,0,0
2024-06-10 15:17,삼각지역,POI030,여유,2500,3000,24,30.1,44,0,8,29,53
2024-06-10 16:12,삼각지역,POI030,여유,2500,3000,22,29.6,47,0,5,33,63
2024-06-10 17:16,삼각지역,POI030,여유,2500,3000,19,29.1,53,0,5,36,66
2024-06-10 18:14,삼각지역,POI030,보통,2500,3000,18,28.2,55,0,5,42,66
2024-06-10 19:14,삼각지역,POI030,보통,2500,3000,20,26.4,59,0,1,35,64
2024-06-10 20:10,삼각지역,POI030,여유,2000,2500,24,25,67,0,1,30,56
2024-06-10 21:21,삼각지역,POI030,여유,2000,2500,28,24.1,73,0,0,32,53
2024-06-10 22:14,삼각지역,POI030,여유,1500,2000,28,23.3,77,0,0,37,53
2024-06-10 23:13,삼각지역,POI030,여유,1500,2000,30,22.6,79,0,0,33,57
2024-06-11 00:13,삼각지역,POI030,여유,1500,2000,35,22.9,76,0,0,33,57
2024-06-11 01:15,삼각지역,POI030,여유,1000,1500,36,22.4,78,0,0,34,54
2024-06-11 02:10,삼각지역,POI030,여유,1000,1500,37,22,80,0,0,41,61
2024-06-11 03:15,삼각지역,POI030,여유,1000,1500,37,21.9,79,0,0,42,67
2024-06-11 04:10,삼각지역,POI030,여유,1000,1500,36,21.4,81,0,0,46,67
