시각,지역명,지역코드,혼잡도,최소인구수,최대인구수,전체도로소통평균속도,기온,습도,강수량,자외선지수단계,초미세먼지농도,미세먼지농도
2024-06-08 16:13,서리풀공원·몽마르뜨공원,POI098,여유,3000,3500,25,24.3,72,0,6,11,25
2024-06-08 17:14,서리풀공원·몽마르뜨공원,POI098,여유,3000,3500,25,25,65,0,6,10,17
2024-06-08 18:14,서리풀공원·몽마르뜨공원,POI098,여유,2500,3000,26,24.4,68,0,6,9,17
2024-06-08 19:13,서리풀공원·몽마르뜨공원,POI098,여유,2000,2500,27,23.2,72,0,1,8,16
2024-06-08 20:11,서리풀공원·몽마르뜨공원,POI098,여유,2000,2500,29,20.6,91,0,1,6,13
2024-06-08 21:20,서리풀공원·몽마르뜨공원,POI098,여유,2000,2500,28,19.1,100,0,0,8,15
2024-06-08 22:12,서리풀공원·몽마르뜨공원,POI098,여유,2000,2500,29,18.6,100,0,0,8,15
2024-06-08 23:12,서리풀공원·몽마르뜨공원,POI098,여유,2000,2500,29,18.1,100,0,0,9,19
2024-06-09 00:12,서리풀공원·몽마르뜨공원,POI098,여유,1500,2000,30,17.6,100,0,0,8,20
2024-06-09 01:16,서리풀공원·몽마르뜨공원,POI098,여유,1500,2000,32,17.6,100,0,0,11,15
2024-06-09 02:12,서리풀공원·몽마르뜨공원,POI098,여유,1500,2000,32,17.7,100,0,0,19,24
2024-06-09 03:15,서리풀공원·몽마르뜨공원,POI098,여유,1500,2000,33,17.6,100,0,0,15,24
2024-06-09 04:10,서리풀공원·몽마르뜨공원,POI098,여유,1500,2000,32,16.7,100,0,0,15,27
2024-06-09 05:12,서리풀공원·몽마르뜨공원,POI098,여유,1500,2000,32,17.2,100,0,0,17,29
2024-06-09 06:11,서리풀공원·몽마르뜨공원,POI098,여유,1500,2000,31,17.1,100,0,0,16,25
2024-06-09 07:11,서리풀공원·몽마르뜨공원,POI098,여유,2000,2500,31,19.1,100,0,2,14,24
2024-06-09 08:12,서리풀공원·몽마르뜨공원,POI098,여유,2000,2500,29,21,92,0,2,14,30
2024-06-09 09:58,서리풀공원·몽마르뜨공원,POI098,여유,2000,2500,27,23.4,70,0,6,19,31
2024-06-09 11:05,서리풀공원·몽마르뜨공원,POI098,여유,2500,3000,27,25,55,0,6,13,30
2024-06-09 12:14,서리풀공원·몽마르뜨공원,POI098,여유,2500,3000,26,26.3,54,0,6,17,32
2024-06-09 13:15,서리풀공원·몽마르뜨공원,POI098,여유,2500,3000,27,27,51,0,7,16,35
2024-06-09 14:12,서리풀공원·몽마르뜨공원,POI098,여유,2500,3000,25,28.2,51,0,7,20,40
2024-06-09 15:16,서리풀공원·몽마르뜨공원,POI098,여유,2500,3000,26,29.7,49,0,7,24,39
2024-06-09 16:12,서리풀공원·몽마르뜨공원,POI098,여유,2500,3000,26,28.5,49,0,6,24,38
2024-06-09 17:14,서리풀공원·몽마르뜨공원,POI098,여유,2500,3000,26,27.9,50,0,6,20,37
2024-06-09 18:13,서리풀공원·몽마르뜨공원,POI098,여유,2500,3000,27,27,53,0,6,25,39
2024-06-09 19:12,서리풀공원·몽마르뜨공원,POI098,여유,2500,3000,30,25.5,59,0,1,21,39
2024-06-09 20:10,서리풀공원·몽마르뜨공원,POI098,여유,2000,2500,29,23.7,64,0,1,25,37
2024-06-09 21:21,서리풀공원·몽마르뜨공원,POI098,여유,2000,2500,29,21.7,75,0,0,18,32
2024-06-09 22:13,서리풀공원·몽마르뜨공원,POI098,여유,2000,2500,30,20.8,86,0,0,21,36
