시각,지역명,지역코드,혼잡도,최소인구수,최대인구수,전체도로소통평균속도,기온,습도,강수량,자외선지수단계,초미세먼지농도,미세먼지농도
2024-06-08 16:11,서울 암사동 유적,POI011,여유,400,500,45,24.4,66,0,6,23,31
2024-06-08 17:13,서울 암사동 유적,POI011,여유,400,500,44,25.6,56,0,6,18,27
2024-06-08 18:13,서울 암사동 유적,POI011,여유,300,400,44,24.4,58,0,6,14,18
2024-06-08 19:11,서울 암사동 유적,POI011,여유,300,400,49,23.7,62,0,1,8,11
2024-06-08 20:10,서울 암사동 유적,POI011,여유,300,400,45,23.2,64,0,1,10,12
2024-06-08 21:19,서울 암사동 유적,POI011,여유,300,400,45,22.3,68,0,1,8,12
2024-06-08 22:11,서울 암사동 유적,POI011,여유,400,500,48,21.6,73,0,0,9,17
2024-06-08 23:10,서울 암사동 유적,POI011,여유,300,400,49,20.9,76,0,0,8,13
2024-06-09 00:11,서울 암사동 유적,POI011,여유,400,500,50,20.9,74,0,0,11,20
2024-06-09 01:14,서울 암사동 유적,POI011,여유,400,500,50,20.2,78,0,0,14,28
2024-06-09 02:10,서울 암사동 유적,POI011,여유,400,500,52,19.4,86,0,0,14,24
2024-06-09 03:13,서울 암사동 유적,POI011,여유,400,500,53,19.1,88,0,0,12,27
2024-06-09 04:09,서울 암사동 유적,POI011,여유,400,500,52,18.9,89,0,0,12,25
2024-06-09 05:11,서울 암사동 유적,POI011,여유,400,500,52,18.2,91,0,0,13,24
2024-06-09 06:10,서울 암사동 유적,POI011,여유,400,500,51,18.2,92,0,0,14,15
2024-06-09 07:10,서울 암사동 유적,POI011,보통,500,600,49,19.2,88,0,2,12,22
