시각,지역명,지역코드,혼잡도,최소인구수,최대인구수,전체도로소통평균속도,기온,습도,강수량,자외선지수단계,초미세먼지농도,미세먼지농도
2024-06-08 16:12,수유리 먹자골목,POI069,여유,5000,5500,18,22.4,76,0,6,17,17
2024-06-08 17:14,수유리 먹자골목,POI069,여유,5500,6000,18,22.2,74,0,6,19,30
2024-06-08 18:14,수유리 먹자골목,POI069,여유,5500,6000,18,21.7,78,0,6,18,20
2024-06-08 19:12,수유리 먹자골목,POI069,여유,6000,6500,17,19.7,89,0,1,9,12
2024-06-08 20:11,수유리 먹자골목,POI069,여유,6000,6500,19,18.5,92,0,1,9,16
2024-06-08 21:20,수유리 먹자골목,POI069,여유,6000,6500,21,17.7,94,0,1,13,17
2024-06-08 22:12,수유리 먹자골목,POI069,여유,5500,6000,21,17.2,95,0,0,11,16
2024-06-08 23:11,수유리 먹자골목,POI069,여유,5500,6000,21,16.8,96,0,0,12,14
2024-06-09 00:12,수유리 먹자골목,POI069,여유,5000,5500,23,16.6,96,0,0,12,24
2024-06-09 01:15,수유리 먹자골목,POI069,여유,5000,5500,24,16.2,97,0,0,13,17
2024-06-09 02:11,수유리 먹자골목,POI069,여유,5000,5500,22,15.8,97,0,0,11,27
2024-06-09 03:14,수유리 먹자골목,POI069,여유,4500,5000,24,15.6,98,0,0,14,19
2024-06-09 04:10,수유리 먹자골목,POI069,여유,4500,5000,24,15.4,98,0,0,11,15
2024-06-09 05:12,수유리 먹자골목,POI069,여유,4500,5000,25,15.5,98,0,0,9,18
2024-06-09 06:11,수유리 먹자골목,POI069,여유,4500,5000,24,15.6,98,0,0,8,14
2024-06-09 07:11,수유리 먹자골목,POI069,여유,4500,5000,21,17.2,98,0,2,12,14
2024-06-09 08:12,수유리 먹자골목,POI069,여유,4500,5000,21,20.8,80,0,2,10,10
2024-06-09 09:58,수유리 먹자골목,POI069,여유,4500,5000,20,23.8,64,0,6,17,27
2024-06-09 12:14,수유리 먹자골목,POI069,여유,5000,5500,18,26.3,51,0,6,17,25
2024-06-09 13:15,수유리 먹자골목,POI069,여유,5000,5500,17,28.4,50,0,7,20,27
2024-06-09 14:11,수유리 먹자골목,POI069,여유,5000,5500,18,28.5,48,0,7,22,30
2024-06-09 15:16,수유리 먹자골목,POI069,여유,5000,5500,19,27.9,44,0,7,22,28
2024-06-09 16:12,수유리 먹자골목,POI069,여유,5000,5500,18,28.5,45,0,6,15,27
2024-06-09 17:14,수유리 먹자골목,POI069,여유,5000,5500,18,26.9,52,0,6,19,24
2024-06-09 18:13,수유리 먹자골목,POI069,여유,5500,6000,18,26,55,0,6,23,37
2024-06-09 19:12,수유리 먹자골목,POI069,여유,5500,6000,18,23.8,60,0,1,27,31
2024-06-09 20:10,수유리 먹자골목,POI069,여유,6000,6500,20,21.6,71,0,1,22,34
2024-06-09 21:21,수유리 먹자골목,POI069,여유,5500,6000,21,21.1,73,0,0,20,26
2024-06-09 22:12,수유리 먹자골목,POI069,여유,5000,5500,21,19.9,77,0,0,19,28
2024-06-09 23:11,수유리 먹자골목,POI069,여유,5000,5500,22,18.8,81,0,0,19,28
2024-06-10 00:11,수유리 먹자골목,POI069,여유,5000,5500,24,18.4,82,0,0,18,24
2024-06-10 01:14,수유리 먹자골목,POI069,여유,4500,5000,24,17.9,84,0,0,21,27
2024-06-10 02:12,수유리 먹자골목,POI069,여유,4500,5000,26,17.4,87,0,0,0,24
2024-06-10 03:14,수유리 먹자골목,POI069,여유,4500,5000,24,17,89,0,0,19,27
2024-06-10 04:11,수유리 먹자골목,POI069,여유,4500,5000,27,16.7,91,0,0,17,25
2024-06-10 05:13,수유리 먹자골목,POI069,여유,4500,5000,25,16.4,92,0,0,17,29
2024-06-10 06:12,수유리 먹자골목,POI069,여유,4500,5000,22,17.2,92,0,0,21,29
2024-06-10 07:11,수유리 먹자골목,POI069,여유,4500,5000,20,20.1,80,0,2,22,28
2024-06-10 08:12,수유리 먹자골목,POI069,여유,4500,5000,20,22.1,72,0,2,27,33
2024-06-10 09:55,수유리 먹자골목,POI069,여유,5000,5500,17,25.6,56,0,7,28,36
2024-06-10 11:01,수유리 먹자골목,POI069,여유,5000,5500,18,26.5,50,0,7,24,41
