시각,지역명,지역코드,혼잡도,최소인구수,최대인구수,전체도로소통평균속도,기온,습도,강수량,자외선지수단계,초미세먼지농도,미세먼지농도
2024-06-08 16:12,수유역,POI036,여유,10000,12000,17,22.4,76,0,6,20,22
2024-06-08 17:13,수유역,POI036,여유,12000,14000,17,22.2,74,0,6,19,24
2024-06-08 18:13,수유역,POI036,여유,12000,14000,17,21.7,78,0,6,20,23
2024-06-08 19:12,수유역,POI036,보통,12000,14000,17,19.7,89,0,1,13,18
2024-06-08 20:10,수유역,POI036,보통,14000,16000,19,18.5,92,0,1,11,17
2024-06-08 21:19,수유역,POI036,보통,14000,16000,20,17.7,94,0,1,15,24
2024-06-08 22:12,수유역,POI036,보통,14000,16000,20,17.2,95,0,0,12,22
2024-06-08 23:11,수유역,POI036,여유,12000,14000,19,16.8,96,0,0,10,21
2024-06-09 00:12,수유역,POI036,여유,12000,14000,22,16.6,96,0,0,11,22
2024-06-09 01:15,수유역,POI036,여유,10000,12000,22,16.2,97,0,0,10,28
2024-06-09 02:11,수유역,POI036,여유,10000,12000,22,15.8,97,0,0,13,21
2024-06-09 03:14,수유역,POI036,여유,9500,10000,23,15.6,98,0,0,10,20
2024-06-09 04:09,수유역,POI036,여유,8500,9000,23,15.4,98,0,0,11,22
2024-06-09 05:11,수유역,POI036,여유,8000,8500,24,15.5,98,0,0,10,19
2024-06-09 06:10,수유역,POI036,여유,8000,8500,23,15.6,98,0,0,13,19
2024-06-09 07:10,수유역,POI036,여유,7500,8000,21,17.2,98,0,2,9,20
2024-06-09 08:11,수유역,POI036,여유,7500,8000,21,20.8,80,0,2,8,21
2024-06-09 09:57,수유역,POI036,여유,8500,9000,19,23.8,64,0,6,13,20
2024-06-09 11:04,수유역,POI036,여유,9500,10000,18,24.9,59,0,6,16,24
2024-06-09 12:13,수유역,POI036,여유,9500,10000,18,26.3,51,0,6,16,26
2024-06-09 13:14,수유역,POI036,여유,10000,12000,17,28.4,50,0,7,15,22
2024-06-09 14:11,수유역,POI036,여유,10000,12000,17,28.5,48,0,7,20,25
2024-06-09 15:15,수유역,POI036,여유,10000,12000,18,27.9,44,0,7,19,25
2024-06-09 16:11,수유역,POI036,여유,10000,12000,17,28.5,45,0,6,13,22
2024-06-09 17:13,수유역,POI036,여유,10000,12000,17,26.9,52,0,6,19,25
2024-06-09 18:12,수유역,POI036,여유,12000,14000,17,26,55,0,6,29,37
2024-06-09 19:11,수유역,POI036,여유,12000,14000,18,24.8,55,0,1,32,44
2024-06-09 20:09,수유역,POI036,여유,12000,14000,19,21.6,71,0,1,25,36
2024-06-09 21:20,수유역,POI036,여유,12000,14000,20,21.1,73,0,0,21,30
2024-06-09 22:12,수유역,POI036,여유,10000,12000,20,19.9,77,0,0,22,31
2024-06-09 23:10,수유역,POI036,여유,10000,12000,20,18.8,81,0,0,20,27
2024-06-10 00:11,수유역,POI036,여유,9500,10000,22,18.4,82,0,0,21,28
2024-06-10 01:13,수유역,POI036,여유,8500,9000,23,17.9,84,0,0,21,27
2024-06-10 02:11,수유역,POI036,여유,8500,9000,24,17.4,87,0,0,19,29
2024-06-10 03:14,수유역,POI036,여유,7500,8000,23,17,89,0,0,20,26
2024-06-10 04:10,수유역,POI036,여유,7500,8000,25,16.7,91,0,0,20,26
2024-06-10 05:13,수유역,POI036,여유,7000,7500,24,16.4,92,0,0,21,27
2024-06-10 06:11,수유역,POI036,여유,7500,8000,21,17.2,92,0,0,22,31
2024-06-10 07:11,수유역,POI036,여유,7500,8000,19,20.1,80,0,2,22,28
2024-06-10 08:11,수유역,POI036,여유,8000,8500,18,22.1,72,0,2,20,28
2024-06-10 09:54,수유역,POI036,여유,10000,12000,16,25.6,56,0,7,24,35
2024-06-10 11:00,수유역,POI036,여유,10000,12000,18,26.5,50,0,7,24,35
2024-06-10 11:37,수유역,POI036,여유,10000,12000,18,27.2,46,0,7,24,35
2024-06-10 12:13,수유역,POI036,여유,10000,12000,17,28.2,49,0,7,17,0
2024-06-10 13:17,수유역,POI036,여유,10000,12000,17,29.5,47,0,8,18,51
2024-06-10 14:12,수유역,POI036,여유,10000,12000,17,29.7,47,0,8,25,43
