시각,지역명,지역코드,혼잡도,최소인구수,최대인구수,전체도로소통평균속도,기온,습도,강수량,자외선지수단계,초미세먼지농도,미세먼지농도
2024-06-08 16:13,아차산,POI102,여유,6000,6500,27,22.8,73,0,6,19,29
2024-06-08 17:14,아차산,POI102,여유,6000,6500,28,24.4,58,0,6,17,26
2024-06-08 18:14,아차산,POI102,여유,5500,6000,28,24.2,57,0,6,12,18
2024-06-08 19:13,아차산,POI102,여유,5500,6000,29,23.6,60,0,1,8,15
2024-06-08 20:11,아차산,POI102,여유,5500,6000,30,22.8,63,0,1,15,19
2024-06-08 21:20,아차산,POI102,여유,5500,6000,28,22.2,66,0,0,12,20
2024-06-08 22:13,아차산,POI102,여유,5500,6000,28,21.7,71,0,0,11,21
2024-06-08 23:12,아차산,POI102,여유,5500,6000,29,20.6,77,0,0,11,20
2024-06-09 00:13,아차산,POI102,여유,5000,5500,30,19.9,81,0,0,12,21
2024-06-09 01:16,아차산,POI102,여유,5000,5500,31,19.4,84,0,0,13,24
2024-06-09 02:12,아차산,POI102,여유,5000,5500,32,19,85,0,0,16,26
2024-06-09 03:15,아차산,POI102,여유,5000,5500,32,18.6,87,0,0,14,26
2024-06-09 04:10,아차산,POI102,여유,5000,5500,33,18.4,86,0,0,16,27
2024-06-09 05:12,아차산,POI102,여유,5000,5500,33,18,88,0,0,15,28
2024-06-09 06:11,아차산,POI102,여유,5000,5500,29,17.9,89,0,0,13,29
2024-06-09 07:11,아차산,POI102,여유,5500,6000,30,18.9,84,0,2,14,25
2024-06-09 08:12,아차산,POI102,여유,5500,6000,30,20.9,78,0,2,14,22
2024-06-09 09:58,아차산,POI102,여유,7000,7500,30,24,60,0,6,15,25
2024-06-09 11:05,아차산,POI102,보통,8500,9000,28,25.5,51,0,6,11,22
2024-06-09 12:14,아차산,POI102,보통,9000,9500,26,26.1,48,0,6,14,24
2024-06-09 13:15,아차산,POI102,보통,8500,9000,25,28.1,42,0,7,17,26
2024-06-09 14:12,아차산,POI102,여유,7500,8000,25,28.1,41,0,7,21,30
2024-06-09 15:16,아차산,POI102,여유,7500,8000,24,29.1,37,0,7,18,28
2024-06-09 16:12,아차산,POI102,여유,7000,7500,26,28.5,43,0,6,23,31
2024-06-09 17:14,아차산,POI102,여유,6500,7000,25,27.5,46,0,6,23,32
2024-06-09 18:13,아차산,POI102,여유,6000,6500,26,26.9,50,0,6,29,36
2024-06-09 19:12,아차산,POI102,여유,6000,6500,27,26.1,47,0,1,27,37
2024-06-09 20:10,아차산,POI102,여유,6000,6500,28,24.6,59,0,1,24,40
2024-06-09 21:21,아차산,POI102,여유,5500,6000,28,23.7,62,0,0,22,35
2024-06-09 22:13,아차산,POI102,여유,5500,6000,28,23.1,63,0,0,27,36
2024-06-09 23:12,아차산,POI102,여유,5500,6000,30,22.9,64,0,0,21,32
2024-06-10 00:12,아차산,POI102,여유,5000,5500,32,22.6,65,0,0,22,35
2024-06-10 01:14,아차산,POI102,여유,5000,5500,32,22.1,67,0,0,22,33
2024-06-10 02:12,아차산,POI102,여유,5000,5500,32,21.5,70,0,0,28,37
2024-06-10 03:15,아차산,POI102,여유,5000,5500,35,20.9,74,0,0,24,35
2024-06-10 04:11,아차산,POI102,여유,5000,5500,34,20.4,76,0,0,25,35
2024-06-10 05:14,아차산,POI102,여유,5000,5500,34,20.5,76,0,0,26,36
2024-06-10 06:12,아차산,POI102,여유,5000,5500,34,20.5,75,0,0,28,39
2024-06-10 07:12,아차산,POI102,여유,5500,6000,29,21.7,71,0,2,27,37
2024-06-10 08:12,아차산,POI102,여유,6500,7000,25,23.1,65,0,2,28,38
2024-06-10 09:55,아차산,POI102,여유,5500,6000,27,25.9,52,0,7,24,41
2024-06-10 11:02,아차산,POI102,여유,5500,6000,27,27.3,46,0,7,20,37
2024-06-10 11:38,아차산,POI102,여유,5500,6000,27,28.5,43,0,7,20,37
2024-06-10 12:14,아차산,POI102,여유,5000,5500,29,28.1,44,0,7,21,41
2024-06-10 13:18,아차산,POI102,여유,5000,5500,29,30.6,41,0,8,23,40
2024-06-10 14:13,아차산,POI102,여유,5000,5500,29,29.7,41,0,8,26,51
2024-06-10 15:18,아차산,POI102,여유,5000,5500,28,30.8,40,0,8,25,48
2024-06-10 16:13,아차산,POI102,여유,5000,5500,28,30.5,43,0,5,27,56
2024-06-10 17:17,아차산,POI102,여유,4500,5000,27,29.7,47,0,5,33,62
2024-06-10 18:15,아차산,POI102,여유,5000,5500,26,29.1,50,0,5,37,61
2024-06-10 19:15,아차산,POI102,여유,5000,5500,26,27.6,54,0,1,36,59
2024-06-10 20:12,아차산,POI102,여유,5500,6000,28,25.5,64,0,1,40,63
2024-06-10 21:22,아차산,POI102,여유,5500,6000,29,24.5,69,0,0,36,54
2024-06-10 22:16,아차산,POI102,여유,5500,6000,28,24.3,71,0,0,37,54
2024-06-10 23:14,아차산,POI102,여유,5000,5500,31,23.8,73,0,0,35,54
2024-06-11 00:14,아차산,POI102,여유,5000,5500,32,23.7,73,0,0,35,54
2024-06-11 01:16,아차산,POI102,여유,5000,5500,33,23.3,73,0,0,35,59
2024-06-11 02:11,아차산,POI102,여유,5000,5500,33,22.9,74,0,0,41,68
