시각,지역명,지역코드,혼잡도,최소인구수,최대인구수,전체도로소통평균속도,기온,습도,강수량,자외선지수단계,초미세먼지농도,미세먼지농도
2024-06-08 16:13,양화한강공원,POI103,여유,1000,1500,29,24.1,60,0,6,18,18
2024-06-08 17:14,양화한강공원,POI103,여유,1000,1500,29,24.6,57,0,6,12,17
2024-06-08 18:14,양화한강공원,POI103,여유,1000,1500,30,24.5,56,0,6,9,9
2024-06-08 19:13,양화한강공원,POI103,여유,1000,1500,32,23,62,0,1,11,16
2024-06-08 20:11,양화한강공원,POI103,여유,1000,1500,32,22.3,63,0,1,9,14
2024-06-08 21:20,양화한강공원,POI103,여유,1000,1500,32,21.6,64,0,0,7,16
2024-06-08 22:13,양화한강공원,POI103,여유,1000,1500,32,21.4,64,0,0,8,13
2024-06-08 23:12,양화한강공원,POI103,여유,800,900,34,21,77,0,0,6,11
2024-06-09 00:13,양화한강공원,POI103,여유,600,700,36,19.8,86,0,0,8,11
2024-06-09 01:16,양화한강공원,POI103,여유,300,400,37,19.4,85,0,0,14,22
2024-06-09 02:12,양화한강공원,POI103,여유,300,400,37,19.4,86,0,0,18,28
