시각,지역명,지역코드,혼잡도,최소인구수,최대인구수,전체도로소통평균속도,기온,습도,강수량,자외선지수단계,초미세먼지농도,미세먼지농도
2024-06-08 16:12,외대앞,POI075,여유,2500,3000,17,22.8,76,0,6,21,27
2024-06-08 17:14,외대앞,POI075,여유,2500,3000,20,24.7,59,0,6,17,26
2024-06-08 18:14,외대앞,POI075,여유,2500,3000,21,24.1,60,0,6,18,27
2024-06-08 19:12,외대앞,POI075,여유,2500,3000,20,23.5,62,0,1,9,17
2024-06-08 20:11,외대앞,POI075,여유,2500,3000,22,22.5,66,0,1,9,18
2024-06-08 21:20,외대앞,POI075,여유,2500,3000,23,21.7,72,0,1,11,19
2024-06-08 22:12,외대앞,POI075,여유,2500,3000,24,20.8,76,0,0,12,17
2024-06-08 23:11,외대앞,POI075,여유,2000,2500,24,20.2,80,0,0,13,24
2024-06-09 00:12,외대앞,POI075,여유,2000,2500,25,20.1,80,0,0,12,22
2024-06-09 01:15,외대앞,POI075,여유,2000,2500,25,19.5,86,0,0,14,24
2024-06-09 02:11,외대앞,POI075,여유,2000,2500,27,19,88,0,0,14,25
2024-06-09 03:14,외대앞,POI075,여유,2000,2500,26,18.4,89,0,0,15,25
2024-06-09 04:10,외대앞,POI075,여유,2000,2500,28,18.7,88,0,0,15,25
2024-06-09 05:12,외대앞,POI075,여유,2000,2500,25,18.1,90,0,0,14,26
2024-06-09 06:11,외대앞,POI075,여유,2000,2500,23,17.9,91,0,0,14,26
2024-06-09 07:11,외대앞,POI075,여유,2000,2500,23,18.9,86,0,2,13,26
2024-06-09 08:12,외대앞,POI075,여유,2000,2500,22,21.1,77,0,2,15,27
2024-06-09 09:58,외대앞,POI075,여유,2500,3000,21,23,63,0,6,13,24
2024-06-09 11:05,외대앞,POI075,여유,2500,3000,20,25.5,56,0,6,13,23
2024-06-09 12:14,외대앞,POI075,여유,2500,3000,20,26.3,51,0,6,17,24
2024-06-09 13:15,외대앞,POI075,여유,2500,3000,20,26.6,47,0,7,18,29
2024-06-09 14:11,외대앞,POI075,여유,2500,3000,21,27,43,0,7,17,30
2024-06-09 15:16,외대앞,POI075,여유,2500,3000,21,29.3,41,0,7,17,28
2024-06-09 16:12,외대앞,POI075,여유,2500,3000,20,29,45,0,6,20,29
2024-06-09 17:14,외대앞,POI075,여유,2500,3000,21,27.6,48,0,6,26,36
2024-06-09 18:13,외대앞,POI075,여유,2500,3000,20,26.6,52,0,6,30,41
2024-06-09 19:12,외대앞,POI075,여유,2500,3000,20,25.8,52,0,1,28,41
2024-06-09 20:10,외대앞,POI075,여유,2500,3000,21,24.2,61,0,1,24,38
2024-06-09 21:21,외대앞,POI075,여유,2500,3000,23,23.3,64,0,0,22,35
2024-06-09 22:12,외대앞,POI075,여유,2500,3000,21,22.8,66,0,0,22,33
2024-06-09 23:11,외대앞,POI075,여유,2500,3000,24,22.4,67,0,0,21,32
2024-06-10 00:11,외대앞,POI075,여유,2000,2500,25,21.9,70,0,0,23,34
2024-06-10 01:14,외대앞,POI075,여유,2000,2500,25,21.3,73,0,0,24,37
2024-06-10 02:12,외대앞,POI075,여유,2000,2500,27,21.2,73,0,0,28,40
2024-06-10 03:14,외대앞,POI075,여유,2000,2500,25,20.4,77,0,0,26,41
2024-06-10 04:11,외대앞,POI075,여유,2000,2500,24,20.5,76,0,0,25,38
2024-06-10 05:13,외대앞,POI075,여유,2000,2500,24,20,81,0,0,21,33
2024-06-10 06:12,외대앞,POI075,여유,2000,2500,21,20.1,80,0,0,27,43
2024-06-10 07:11,외대앞,POI075,여유,2000,2500,21,21.4,74,0,2,29,46
2024-06-10 08:12,외대앞,POI075,여유,2500,3000,21,22.9,68,0,2,23,38
2024-06-10 09:55,외대앞,POI075,여유,2500,3000,21,25.2,56,0,7,19,35
2024-06-10 11:01,외대앞,POI075,여유,2500,3000,19,27.2,47,0,7,21,36
2024-06-10 11:38,외대앞,POI075,여유,2500,3000,18,27.2,47,0,7,21,36
2024-06-10 12:14,외대앞,POI075,여유,3000,3500,19,27.8,47,0,7,19,35
2024-06-10 13:18,외대앞,POI075,여유,2500,3000,18,29.1,46,0,8,23,43
2024-06-10 14:13,외대앞,POI075,여유,2500,3000,18,30.1,42,0,8,28,51
2024-06-10 15:18,외대앞,POI075,여유,3000,3500,18,30.7,42,0,8,27,51
2024-06-10 16:13,외대앞,POI075,여유,2500,3000,18,30.4,45,0,5,35,57
2024-06-10 17:17,외대앞,POI075,여유,2500,3000,18,29.8,49,0,5,34,63
2024-06-10 18:15,외대앞,POI075,여유,3000,3500,17,28.7,52,0,5,38,63
2024-06-10 19:14,외대앞,POI075,여유,3500,4000,17,27.2,57,0,1,36,62
2024-06-10 20:11,외대앞,POI075,여유,3000,3500,21,25,68,0,1,36,56
2024-06-10 21:22,외대앞,POI075,여유,2500,3000,22,24.2,72,0,0,35,58
2024-06-10 22:15,외대앞,POI075,여유,2500,3000,22,23.8,75,0,0,31,59
2024-06-10 23:14,외대앞,POI075,여유,2500,3000,24,23.4,77,0,0,34,59
2024-06-11 00:14,외대앞,POI075,여유,2500,3000,24,23.5,75,0,0,34,59
2024-06-11 01:15,외대앞,POI075,여유,2000,2500,26,23.1,75,0,0,36,64
2024-06-11 02:10,외대앞,POI075,여유,2000,2500,24,22.8,77,0,0,43,77
2024-06-11 03:16,외대앞,POI075,여유,2000,2500,26,22.5,77,0,0,46,74
2024-06-11 04:10,외대앞,POI075,여유,2000,2500,25,22.2,79,0,0,47,78
2024-06-11 05:13,외대앞,POI075,여유,2000,2500,23,22.3,75,0,0,50,81
2024-06-11 06:12,외대앞,POI075,여유,2000,2500,21,22.2,76,0,0,49,74
2024-06-11 07:13,외대앞,POI075,여유,2000,2500,19,22.8,73,0,1,42,66
2024-06-11 08:12,외대앞,POI075,여유,2500,3000,21,23.5,69,0,1,47,74
2024-06-11 09:54,외대앞,POI075,여유,2000,2500,19,25.7,63,0,8,51,77
2024-06-11 10:59,외대앞,POI075,여유,2500,3000,18,26.2,56,0,8,42,68
2024-06-11 11:34,외대앞,POI075,여유,2500,3000,19,29,49,0,8,42,68
2024-06-11 12:14,외대앞,POI075,여유,2500,3000,19,28.4,51,0,8,46,65
2024-06-11 13:14,외대앞,POI075,여유,2500,3000,19,30,44,0,5,42,68
2024-06-11 14:14,외대앞,POI075,여유,2500,3000,19,30.4,44,0,5,46,71
2024-06-11 15:16,외대앞,POI075,여유,2500,3000,19,31.2,43,0,5,46,72
2024-06-11 16:13,외대앞,POI075,여유,2500,3000,19,31.5,38,0,5,46,72
2024-06-11 17:16,외대앞,POI075,여유,3000,3500,17,30,43,0,5,50,81
2024-06-11 18:14,외대앞,POI075,여유,2500,3000,18,29.3,37,0,5,44,70
2024-06-11 19:14,외대앞,POI075,여유,3500,4000,19,27.4,47,0,1,26,63
2024-06-11 20:12,외대앞,POI075,여유,3000,3500,20,25.9,51,0,1,16,50
2024-06-11 21:23,외대앞,POI075,여유,3000,3500,21,24.4,60,0,0,18,47
2024-06-11 22:15,외대앞,POI075,여유,2500,3000,22,23.7,58,0,0,15,49
2024-06-11 23:12,외대앞,POI075,여유,2500,3000,25,23.2,61,0,0,13,32
2024-06-12 00:12,외대앞,POI075,여유,2500,3000,25,22.9,64,0,0,13,32
2024-06-12 01:15,외대앞,POI075,여유,2000,2500,26,22.2,70,0,0,9,24
2024-06-12 02:12,외대앞,POI075,여유,2000,2500,26,21.6,71,0,0,11,25
2024-06-12 03:17,외대앞,POI075,여유,2000,2500,24,21.7,70,0,0,12,27
2024-06-12 04:11,외대앞,POI075,여유,2000,2500,26,21,75,0,0,11,28
2024-06-12 05:13,외대앞,POI075,여유,2000,2500,26,20.5,76,0,0,12,27
2024-06-12 07:11,외대앞,POI075,여유,2500,3000,22,21.7,69,0,1,14,29
2024-06-12 08:12,외대앞,POI075,여유,2500,3000,18,23.1,62,0,1,11,32
