시각,지역명,지역코드,혼잡도,최소인구수,최대인구수,전체도로소통평균속도,기온,습도,강수량,자외선지수단계,초미세먼지농도,미세먼지농도
2024-06-08 16:13,월드컵공원,POI106,약간 붐빔,12000,14000,27,24.7,64,0,6,18,28
2024-06-08 17:14,월드컵공원,POI106,약간 붐빔,12000,14000,28,24.6,57,0,6,11,18
2024-06-08 18:14,월드컵공원,POI106,여유,10000,12000,29,24.5,64,0,6,7,19
2024-06-08 19:13,월드컵공원,POI106,여유,10000,12000,31,22.9,71,0,1,10,14
2024-06-08 20:11,월드컵공원,POI106,보통,9000,9500,32,21.5,79,0,1,12,13
2024-06-08 21:20,월드컵공원,POI106,여유,8500,9000,32,20.3,85,0,0,12,16
2024-06-08 22:13,월드컵공원,POI106,여유,8000,8500,32,19.7,90,0,0,15,20
2024-06-08 23:12,월드컵공원,POI106,여유,6000,6500,34,19.2,91,0,0,16,23
2024-06-09 00:13,월드컵공원,POI106,여유,4500,5000,38,18.8,91,0,0,18,22
2024-06-09 01:16,월드컵공원,POI106,여유,3500,4000,37,18.2,93,0,0,16,24
2024-06-09 02:12,월드컵공원,POI106,여유,3500,4000,37,17.9,95,0,0,14,20
2024-06-09 03:15,월드컵공원,POI106,여유,3000,3500,38,17.7,96,0,0,13,19
2024-06-09 04:10,월드컵공원,POI106,여유,3000,3500,38,16.8,96,0,0,16,17
2024-06-09 05:12,월드컵공원,POI106,여유,3000,3500,38,16.5,96,0,0,13,20
2024-06-09 06:11,월드컵공원,POI106,여유,3500,4000,37,17.1,97,0,0,18,25
2024-06-09 07:11,월드컵공원,POI106,여유,4000,4500,36,17.9,94,0,2,17,23
2024-06-09 08:13,월드컵공원,POI106,여유,5000,5500,35,18.9,91,0,2,14,22
2024-06-09 09:58,월드컵공원,POI106,여유,8000,8500,31,22.1,74,0,6,15,25
2024-06-09 11:05,월드컵공원,POI106,보통,10000,12000,29,23.7,57,0,6,14,28
2024-06-09 12:14,월드컵공원,POI106,보통,10000,12000,30,25.8,40,0,6,16,33
2024-06-09 13:15,월드컵공원,POI106,보통,10000,12000,30,26.3,53,0,7,14,23
2024-06-09 14:12,월드컵공원,POI106,약간 붐빔,12000,14000,29,27.5,49,0,7,17,28
2024-06-09 15:16,월드컵공원,POI106,약간 붐빔,12000,14000,29,28.9,45,0,7,20,28
2024-06-09 16:12,월드컵공원,POI106,약간 붐빔,12000,14000,28,27.5,46,0,6,29,40
2024-06-09 17:14,월드컵공원,POI106,약간 붐빔,12000,14000,28,27,54,0,6,31,43
2024-06-09 18:13,월드컵공원,POI106,보통,10000,12000,29,25.4,61,0,6,30,41
2024-06-09 19:12,월드컵공원,POI106,보통,10000,12000,31,23.8,65,0,1,23,36
2024-06-09 20:10,월드컵공원,POI106,여유,8500,9000,31,22.8,70,0,1,24,28
2024-06-09 21:21,월드컵공원,POI106,여유,7500,8000,32,21.7,73,0,0,18,27
2024-06-09 22:13,월드컵공원,POI106,여유,7000,7500,33,21.5,73,0,0,21,33
2024-06-09 23:12,월드컵공원,POI106,여유,5000,5500,35,20.6,80,0,0,21,31
2024-06-10 00:12,월드컵공원,POI106,여유,4000,4500,37,20.5,81,0,0,25,37
2024-06-10 01:14,월드컵공원,POI106,여유,3000,3500,38,20.1,82,0,0,20,31
2024-06-10 02:12,월드컵공원,POI106,여유,3000,3500,38,20.3,81,0,0,23,36
2024-06-10 03:15,월드컵공원,POI106,여유,2500,3000,38,18.8,90,0,0,21,28
2024-06-10 04:11,월드컵공원,POI106,여유,2500,3000,38,18.4,91,0,0,22,30
2024-06-10 05:14,월드컵공원,POI106,여유,3000,3500,38,18.7,91,0,0,22,29
2024-06-10 06:12,월드컵공원,POI106,여유,5000,5500,33,19.7,87,0,0,28,36
2024-06-10 07:12,월드컵공원,POI106,여유,6000,6500,31,21.5,78,0,2,29,35
2024-06-10 08:12,월드컵공원,POI106,여유,7500,8000,28,23.3,65,0,2,24,29
2024-06-10 09:55,월드컵공원,POI106,여유,7500,8000,29,25.4,52,0,7,24,37
2024-06-10 11:02,월드컵공원,POI106,여유,7500,8000,29,27.2,54,0,7,20,38
2024-06-10 11:38,월드컵공원,POI106,여유,7500,8000,29,27.6,53,0,7,20,38
2024-06-10 12:14,월드컵공원,POI106,여유,7500,8000,30,28.5,49,0,7,23,40
2024-06-10 13:18,월드컵공원,POI106,여유,7500,8000,30,30,46,0,8,25,47
2024-06-10 14:13,월드컵공원,POI106,여유,7500,8000,30,29.9,43,0,8,26,49
2024-06-10 15:18,월드컵공원,POI106,여유,7500,8000,29,31.4,44,0,8,28,53
2024-06-10 16:13,월드컵공원,POI106,여유,8500,9000,29,30,49,0,5,32,61
2024-06-10 17:17,월드컵공원,POI106,여유,8500,9000,27,28.5,53,0,5,34,61
2024-06-10 18:15,월드컵공원,POI106,여유,8500,9000,27,27.4,58,0,5,39,66
2024-06-10 19:15,월드컵공원,POI106,여유,8500,9000,28,24.9,71,0,1,33,58
2024-06-10 20:12,월드컵공원,POI106,여유,7500,8000,31,23.7,77,0,1,31,52
2024-06-10 21:22,월드컵공원,POI106,여유,6500,7000,33,23.2,79,0,0,32,47
2024-06-10 22:16,월드컵공원,POI106,여유,6000,6500,33,22.7,83,0,0,34,55
2024-06-10 23:14,월드컵공원,POI106,여유,4500,5000,35,23,81,0,0,33,50
2024-06-11 00:15,월드컵공원,POI106,여유,3500,4000,38,23.3,77,0,0,33,50
2024-06-11 01:16,월드컵공원,POI106,여유,3000,3500,38,23.1,79,0,0,34,52
2024-06-11 02:11,월드컵공원,POI106,여유,2500,3000,38,22.8,80,0,0,45,60
2024-06-11 03:16,월드컵공원,POI106,여유,2500,3000,39,22.5,80,0,0,42,60
2024-06-11 04:11,월드컵공원,POI106,여유,2500,3000,39,22.5,79,0,0,43,64
2024-06-11 05:13,월드컵공원,POI106,여유,3000,3500,38,22.3,81,0,0,37,53
2024-06-11 06:13,월드컵공원,POI106,여유,4500,5000,34,22.3,79,0,0,36,54
2024-06-11 07:14,월드컵공원,POI106,여유,6000,6500,31,22.8,76,0,1,43,61
2024-06-11 08:12,월드컵공원,POI106,여유,7500,8000,28,22.5,73,0,1,47,61
2024-06-11 09:55,월드컵공원,POI106,여유,8000,8500,29,25.3,63,0,8,53,83
2024-06-11 11:00,월드컵공원,POI106,여유,7500,8000,28,26.2,59,0,8,51,83
2024-06-11 11:34,월드컵공원,POI106,여유,8000,8500,29,28.2,56,0,8,51,83
2024-06-11 12:15,월드컵공원,POI106,여유,8000,8500,30,28.9,53,0,8,48,72
2024-06-11 13:15,월드컵공원,POI106,여유,8000,8500,30,29.2,51,0,5,47,65
2024-06-11 14:14,월드컵공원,POI106,여유,9000,9500,29,30.7,49,0,5,51,66
2024-06-11 15:17,월드컵공원,POI106,여유,10000,12000,28,31.1,46,0,5,50,75
2024-06-11 16:13,월드컵공원,POI106,보통,12000,14000,28,29.5,45,0,5,50,75
2024-06-11 17:16,월드컵공원,POI106,약간 붐빔,16000,18000,26,29.6,44,0,5,57,81
2024-06-11 18:15,월드컵공원,POI106,붐빔,24000,26000,25,27.3,53,0,5,38,61
2024-06-11 19:14,월드컵공원,POI106,붐빔,40000,42000,26,25.5,60,0,1,21,51
2024-06-11 20:12,월드컵공원,POI106,붐빔,56000,58000,28,24.5,61,0,1,18,45
2024-06-11 21:23,월드컵공원,POI106,붐빔,48000,50000,31,22.9,72,0,0,17,40
2024-06-11 22:16,월드컵공원,POI106,붐빔,54000,56000,31,22.6,74,0,0,14,35
2024-06-11 23:12,월드컵공원,POI106,약간 붐빔,18000,20000,31,21.8,78,0,0,13,28
2024-06-12 00:13,월드컵공원,POI106,여유,4500,5000,36,20.9,80,0,0,13,28
2024-06-12 01:16,월드컵공원,POI106,여유,3000,3500,37,20,84,0,0,13,27
2024-06-12 02:13,월드컵공원,POI106,여유,3000,3500,38,19.9,83,0,0,12,26
2024-06-12 03:18,월드컵공원,POI106,여유,2500,3000,37,19.5,89,0,0,13,26
2024-06-12 04:11,월드컵공원,POI106,여유,2500,3000,36,18.3,87,0,0,14,29
2024-06-12 05:13,월드컵공원,POI106,여유,3500,4000,37,18.6,89,0,0,14,26
2024-06-12 07:12,월드컵공원,POI106,여유,6000,6500,30,21.1,78,0,1,14,27
2024-06-12 08:12,월드컵공원,POI106,여유,7500,8000,27,22.2,73,0,1,13,26
2024-06-12 09:55,월드컵공원,POI106,여유,9000,9500,28,26.6,52,0,7,12,30
2024-06-12 10:59,월드컵공원,POI106,여유,8500,9000,29,27.8,43,0,7,14,31
2024-06-12 11:35,월드컵공원,POI106,여유,8500,9000,28,28.8,41,0,7,14,31
2024-06-12 12:14,월드컵공원,POI106,여유,8000,8500,29,30.9,37,0,7,16,27
2024-06-12 13:15,월드컵공원,POI106,여유,7500,8000,30,30.9,38,0,9,15,27
2024-06-12 14:14,월드컵공원,POI106,여유,8000,8500,30,29.8,48,0,9,17,33
2024-06-12 15:17,월드컵공원,POI106,여유,8500,9000,29,30,43,0,9,19,34
2024-06-12 16:13,월드컵공원,POI106,여유,9000,9500,28,29.2,39,0,5,32,54
2024-06-12 17:16,월드컵공원,POI106,보통,9500,10000,27,28.4,46,0,5,32,55
2024-06-12 18:14,월드컵공원,POI106,보통,9000,9500,27,25.7,53,0,5,26,49
2024-06-12 19:14,월드컵공원,POI106,보통,9000,9500,27,24.4,54,0,1,18,36
2024-06-12 20:11,월드컵공원,POI106,여유,8500,9000,30,24.1,54,0,1,21,36
2024-06-12 21:23,월드컵공원,POI106,여유,7000,7500,30,23.2,64,0,0,14,29
2024-06-12 22:15,월드컵공원,POI106,여유,6500,7000,30,22.6,67,0,0,18,36
2024-06-12 23:12,월드컵공원,POI106,여유,5000,5500,34,22.8,67,0,0,14,28
2024-06-13 00:12,월드컵공원,POI106,여유,4500,5000,37,22.2,71,0,0,14,28
2024-06-13 01:15,월드컵공원,POI106,여유,3500,4000,37,23.6,56,0,0,14,26
2024-06-13 02:11,월드컵공원,POI106,여유,3000,3500,37,21,81,0,0,14,28
2024-06-13 03:17,월드컵공원,POI106,여유,3000,3500,39,20.1,79,0,0,15,26
2024-06-13 04:11,월드컵공원,POI106,여유,3000,3500,38,19.9,79,0,0,16,24
2024-06-13 05:13,월드컵공원,POI106,여유,3500,4000,38,18.8,83,0,0,14,26
2024-06-13 06:13,월드컵공원,POI106,여유,5000,5500,34,19.4,80,0,0,15,20
2024-06-13 07:12,월드컵공원,POI106,여유,6500,7000,31,21.3,75,0,2,14,26
2024-06-13 08:13,월드컵공원,POI106,여유,6000,6500,27,23.5,68,0,2,15,28
2024-06-13 09:54,월드컵공원,POI106,여유,8500,9000,29,27.5,55,0,7,18,44
2024-06-13 10:59,월드컵공원,POI106,여유,8000,8500,30,28.8,50,0,7,17,32
2024-06-13 11:32,월드컵공원,POI106,여유,8500,9000,29,29.8,44,0,7,17,32
2024-06-13 12:15,월드컵공원,POI106,여유,8000,8500,30,30.7,34,0,7,21,33
2024-06-13 13:15,월드컵공원,POI106,여유,8000,8500,30,30.9,45,0,8,0,0
2024-06-13 14:15,월드컵공원,POI106,여유,8500,9000,30,31.9,38,0,8,0,0
2024-06-13 15:17,월드컵공원,POI106,여유,8500,9000,29,32.7,35,0,8,30,46
2024-06-13 16:13,월드컵공원,POI106,여유,9000,9500,29,32.1,27,0,5,27,48
2024-06-13 17:16,월드컵공원,POI106,보통,9500,10000,27,30.6,39,0,5,19,40
2024-06-13 18:15,월드컵공원,POI106,여유,9500,10000,27,29.3,44,0,5,16,34
2024-06-13 19:13,월드컵공원,POI106,여유,9500,10000,27,27.6,56,0,1,17,36
2024-06-13 20:12,월드컵공원,POI106,여유,8500,9000,30,26.5,59,0,1,15,35
2024-06-13 21:23,월드컵공원,POI106,여유,8000,8500,32,26.9,53,0,0,14,30
2024-06-13 22:15,월드컵공원,POI106,여유,7000,7500,33,24.1,68,0,0,12,25
2024-06-13 23:13,월드컵공원,POI106,여유,5500,6000,34,23.4,72,0,0,12,25
2024-06-14 00:14,월드컵공원,POI106,여유,4500,5000,37,22.7,76,0,0,12,25
2024-06-14 01:17,월드컵공원,POI106,여유,3500,4000,38,22,65,0,0,14,27
