시각,지역명,지역코드,혼잡도,최소인구수,최대인구수,전체도로소통평균속도,기온,습도,강수량,자외선지수단계,초미세먼지농도,미세먼지농도
2024-06-08 16:13,잠실한강공원,POI110,여유,2000,2500,35,24.4,66,0,6,0,31
2024-06-08 17:14,잠실한강공원,POI110,여유,2000,2500,41,25.6,56,0,6,19,28
2024-06-08 18:14,잠실한강공원,POI110,여유,2000,2500,43,24.4,58,0,6,7,21
2024-06-08 19:13,잠실한강공원,POI110,여유,2000,2500,46,23.7,62,0,1,11,19
2024-06-08 20:11,잠실한강공원,POI110,여유,2500,3000,44,22.9,66,0,1,0,20
2024-06-08 21:20,잠실한강공원,POI110,여유,2500,3000,42,22.3,68,0,0,9,18
2024-06-08 22:13,잠실한강공원,POI110,여유,2500,3000,44,21.6,73,0,0,14,19
2024-06-08 23:12,잠실한강공원,POI110,여유,2000,2500,47,20.9,76,0,0,10,20
2024-06-09 00:13,잠실한강공원,POI110,여유,1000,1500,50,20.9,74,0,0,10,21
2024-06-09 01:16,잠실한강공원,POI110,여유,1000,1500,52,20.2,78,0,0,10,19
2024-06-09 02:12,잠실한강공원,POI110,여유,1000,1500,53,19.4,86,0,0,14,24
2024-06-09 03:15,잠실한강공원,POI110,여유,1000,1500,53,19.1,88,0,0,10,21
2024-06-09 04:11,잠실한강공원,POI110,여유,900,1000,53,18.9,89,0,0,11,21
