시각,지역명,지역코드,혼잡도,최소인구수,최대인구수,전체도로소통평균속도,기온,습도,강수량,자외선지수단계,초미세먼지농도,미세먼지농도
2024-06-08 16:12,장지역,POI048,여유,18000,20000,21,24.2,68,0,6,0,31
2024-06-08 17:13,장지역,POI048,여유,18000,20000,20,25,59,0,6,19,28
2024-06-08 18:13,장지역,POI048,여유,16000,18000,21,24.3,61,0,6,7,21
2024-06-08 19:12,장지역,POI048,여유,16000,18000,22,23.2,66,0,1,11,19
2024-06-08 20:10,장지역,POI048,여유,14000,16000,23,22.1,71,0,1,0,20
2024-06-08 21:19,장지역,POI048,여유,12000,14000,24,20.6,80,0,1,9,18
2024-06-08 22:12,장지역,POI048,여유,12000,14000,25,19.8,83,0,0,14,19
2024-06-08 23:11,장지역,POI048,여유,10000,12000,27,19.1,86,0,0,10,20
2024-06-09 00:12,장지역,POI048,여유,10000,12000,29,19,88,0,0,10,21
2024-06-09 01:15,장지역,POI048,여유,9000,9500,29,19,85,0,0,10,19
2024-06-09 02:11,장지역,POI048,여유,9000,9500,29,18.3,88,0,0,14,24
2024-06-09 03:14,장지역,POI048,여유,9500,10000,28,18,91,0,0,10,21
2024-06-09 04:10,장지역,POI048,여유,9500,10000,30,18,89,0,0,11,21
2024-06-09 05:11,장지역,POI048,여유,9500,10000,29,17.3,93,0,0,9,19
2024-06-09 06:10,장지역,POI048,여유,9500,10000,27,17.7,94,0,0,7,21
2024-06-09 07:10,장지역,POI048,여유,10000,12000,26,20.2,84,0,2,11,22
2024-06-09 08:12,장지역,POI048,여유,10000,12000,26,21.9,74,0,2,19,25
2024-06-09 09:57,장지역,POI048,여유,10000,12000,23,24.1,57,0,6,0,28
2024-06-09 11:04,장지역,POI048,여유,12000,14000,23,25.6,54,0,6,17,23
2024-06-09 12:13,장지역,POI048,여유,12000,14000,23,27.4,48,0,6,12,23
2024-06-09 13:14,장지역,POI048,여유,14000,16000,22,28.2,46,0,7,17,26
2024-06-09 14:11,장지역,POI048,여유,16000,18000,23,28.8,45,0,7,20,34
2024-06-09 15:15,장지역,POI048,여유,16000,18000,22,29.1,46,0,7,19,32
2024-06-09 16:11,장지역,POI048,여유,16000,18000,22,29.3,45,0,6,21,35
2024-06-09 17:13,장지역,POI048,여유,16000,18000,23,29.3,45,0,6,26,34
2024-06-09 18:13,장지역,POI048,여유,16000,18000,23,27.9,47,0,6,27,38
2024-06-09 19:11,장지역,POI048,여유,14000,16000,24,25.8,51,0,1,24,35
2024-06-09 20:09,장지역,POI048,여유,14000,16000,24,24.4,58,0,1,20,35
2024-06-09 21:20,장지역,POI048,여유,12000,14000,25,23.3,62,0,0,16,32
2024-06-09 22:12,장지역,POI048,여유,12000,14000,25,22.8,65,0,0,21,32
2024-06-09 23:11,장지역,POI048,여유,10000,12000,28,22.2,68,0,0,20,32
2024-06-10 00:11,장지역,POI048,여유,10000,12000,29,21.3,72,0,0,26,37
2024-06-10 01:13,장지역,POI048,여유,10000,12000,29,21.1,74,0,0,23,35
2024-06-10 02:11,장지역,POI048,여유,10000,12000,30,20.3,78,0,0,21,38
2024-06-10 03:14,장지역,POI048,여유,10000,12000,30,20.6,76,0,0,23,33
2024-06-10 04:10,장지역,POI048,여유,10000,12000,29,19.4,81,0,0,27,34
2024-06-10 05:13,장지역,POI048,여유,10000,12000,29,18.8,85,0,0,23,33
2024-06-10 06:12,장지역,POI048,여유,10000,12000,26,19.6,82,0,0,31,38
2024-06-10 07:11,장지역,POI048,여유,12000,14000,22,21,78,0,2,21,33
2024-06-10 08:12,장지역,POI048,여유,14000,16000,19,22.9,71,0,2,26,36
2024-06-10 09:54,장지역,POI048,여유,18000,20000,21,26.6,56,0,7,34,48
2024-06-10 11:01,장지역,POI048,보통,18000,20000,22,27.6,50,0,7,29,45
2024-06-10 11:37,장지역,POI048,여유,18000,20000,23,29.2,47,0,7,29,45
2024-06-10 12:13,장지역,POI048,보통,18000,20000,23,29.2,47,0,7,22,49
2024-06-10 13:17,장지역,POI048,보통,20000,22000,23,29.7,47,0,8,19,50
