시각,지역명,지역코드,혼잡도,최소인구수,최대인구수,전체도로소통평균속도,기온,습도,강수량,자외선지수단계,초미세먼지농도,미세먼지농도
2024-06-08 16:12,총신대입구(이수)역,POI051,여유,20000,22000,19,24.3,72,0,6,19,27
2024-06-08 17:13,총신대입구(이수)역,POI051,여유,20000,22000,16,25,65,0,6,10,18
2024-06-08 18:13,총신대입구(이수)역,POI051,여유,18000,20000,18,24.4,68,0,6,13,19
2024-06-08 19:12,총신대입구(이수)역,POI051,여유,18000,20000,19,23.2,72,0,1,11,17
2024-06-08 20:10,총신대입구(이수)역,POI051,여유,18000,20000,20,20.6,91,0,1,15,20
2024-06-08 21:19,총신대입구(이수)역,POI051,여유,16000,18000,21,19.1,99,0,1,13,19
2024-06-08 22:12,총신대입구(이수)역,POI051,여유,18000,20000,22,18.6,100,0,0,13,19
2024-06-08 23:11,총신대입구(이수)역,POI051,여유,18000,20000,24,18.1,100,0,0,11,18
2024-06-09 00:12,총신대입구(이수)역,POI051,여유,16000,18000,27,17.6,100,0,0,11,19
2024-06-09 01:15,총신대입구(이수)역,POI051,여유,16000,18000,30,17.6,100,0,0,10,16
2024-06-09 02:11,총신대입구(이수)역,POI051,여유,16000,18000,28,17.7,100,0,0,12,18
2024-06-09 03:14,총신대입구(이수)역,POI051,여유,16000,18000,29,17.6,100,0,0,13,22
2024-06-09 04:10,총신대입구(이수)역,POI051,여유,16000,18000,30,16.9,100,0,0,17,25
2024-06-09 05:11,총신대입구(이수)역,POI051,여유,16000,18000,29,17.2,100,0,0,14,22
2024-06-09 06:10,총신대입구(이수)역,POI051,여유,16000,18000,27,17.1,100,0,0,14,22
2024-06-09 07:10,총신대입구(이수)역,POI051,여유,16000,18000,27,19.1,100,0,2,15,23
2024-06-09 08:12,총신대입구(이수)역,POI051,여유,16000,18000,24,21,92,0,2,14,24
